#Sample Identifier	Patient Identifier	Collaboration Id	Gene Panel	Oncotree Code	Sample Class	Specimen Preservation Type	Tissue Site	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#A unique sample identifier.	Identifier to uniquely specify a patient.	Collaboration Id.	Gene Panel	Oncotree Code	The sample classification (i.e., tumor, cellline, xenograph).	The method used for preparing the tissue for examination and study.	Tissue Site	Cancer Type	Cancer Type Detailed	TMB (nonsynonymous)
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
#1	1	1	1	1	1	1	1	1	1	1
SAMPLE_ID	PATIENT_ID	COLLAB_ID	GENE_PANEL	ONCOTREE_CODE	SAMPLE_CLASS	SPECIMEN_PRESERVATION_TYPE	TISSUE_SITE	CANCER_TYPE	CANCER_TYPE_DETAILED	TMB_NONSYNONYMOUS
s_BJAB_05270B	p_C_000087	BJAB	HemePACT_v3	DLBCLNOS	Cell line	Frozen	NA	Diffuse Large B-Cell Lymphoma, NOS	Mature B-Cell Neoplasms	41.8273763607
s_CA_46_05270B	p_C_000066	CA_46	HemePACT_v3	BL	Cell line	Frozen	NA	Burkitt Lymphoma	Burkitt Lymphoma	22.6279249164
s_DAUDI_05270B	p_C_000067	DAUDI	HemePACT_v3	BL	Cell line	Frozen	NA	Burkitt Lymphoma	Burkitt Lymphoma	28.7991771664
s_DB_05270B	p_C_000068	DB	HemePACT_v3	NHL	Cell line	Frozen	NA	Non-Hodgkin Lymphoma	Non-Hodgkin Lymphoma	19.1994514442
s_EB_1_05270B	p_C_000095	EB_1	HemePACT_v3	BL	Cell line	Frozen	NA	Burkitt Lymphoma	Burkitt Lymphoma	38.3989028885
s_HBL_1_05270B	p_C_000071	HBL_1	HemePACT_v3	DLBCLNOS	Cell line	Frozen	NA	Diffuse Large B-Cell Lymphoma, NOS	Mature B-Cell Neoplasms	22.6279249164
s_HDLM_2_05270B	p_C_000073	HDLM_2	HemePACT_v3	HL	Cell line	Frozen	NA	Hodgkin Lymphoma	Hodgkin Lymphoma	19.1994514442
s_JEKO_1_05270B	p_C_000074	JEKO_1	HemePACT_v3	MCL	Cell line	Frozen	peripheral blood, Mantle Cell Lymphoma	Mantle Cell Lymphoma	Mature B-Cell Neoplasms	24.6850089997
s_KARPAS_299_05270B	p_C_000075	KARPAS_299	HemePACT_v3	ALCL	Cell line	Frozen	NA	Mature T and NK Neoplasms	Anaplastic Large Cell Lymphoma	22.6279249164
s_KM_H2_05270B	p_C_000078	KM_H2	HemePACT_v3	HL	Cell line	Frozen	NA	Hodgkin Lymphoma	Hodgkin Lymphoma	34.9704294163
s_L_428_05270B	p_C_000108	L_428	HemePACT_v3	HL	Cell line	Frozen	NA	Hodgkin Lymphoma	Hodgkin Lymphoma	28.7991771664
s_L_540_05270B	p_C_000076	L_540	HemePACT_v3	HL	Cell line	Frozen	NA	Hodgkin Lymphoma	Hodgkin Lymphoma	21.2565355276
