chromosome	start	end	same_chr/new_chr	length_ratio/new_pos	file
chr12	101213151	132349534	False	-3.2980	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	36594	132349534	False	-0.0013	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	36594	132349534	False	-0.0013	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr4	47208053	59438786	False	-3.8847	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	102281593	132349534	False	-3.4508	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	102673922	132349534	False	-3.5096	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	100686406	132349534	False	-3.2265	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	90856553	132349534	False	-2.2253	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	130744181	132349534	False	-82.3359	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	130769865	132349534	False	-83.6909	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr17	19886433	22575809	True	2.0844	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr17	59745097	59869144	False	371.5183	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr1	29732066	29791127	False	-505.5702	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	129287114	132349534	False	-42.6856	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr19	24032496	33686723	True	0.4925	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	122799354	132349534	False	-13.0085	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	130744412	132349534	False	-82.3479	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	130744412	132349534	False	-82.3479	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr1	145819658	146967023	False	-128.4273	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	130936688	132349534	False	-93.6908	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	129843525	132349534	False	-52.3851	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	124517245	132349534	False	-16.0810	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	95844824	132349534	False	-2.6660	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	122644035	132349534	False	-12.7843	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr17	21834506	23113501	True	3.2674	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	128750339	132349534	False	-36.1704	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	130748917	132349534	False	-82.5825	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr1	115697069	146751818	False	-3.7320	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr12	130744181	132349534	False	-82.3359	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
chr17	22032910	22733465	True	5.1396	/Users/suny1/data/datahub/public/sarc_mskcc/sarc_mskcc_data_cna_hg18.seg
