#Sample Identifier	Patient Identifier	Tissue Supergroup	Metastatic Tissue Site	Primary Tissue Site	Oncotree Code	Freeze Media	Final Analysis Set	CCLE ID	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic Status	DepMap ID
#Sample identifier	Patient identifier	Sample tissue supergroup	Metastatic tissue site	Primary tissue site	Oncotree code	Cell line freeze media	Indicates if the sample was included in the final analysis set	CCLE ID 	Sanger ID	Cancer Type	Cancer Type Detailed	Somatic status 	DepMap ID mapping for cell lines included in the DepMap CCLE study 
#STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING	STRING
#1	0	0	1	1	1	0	1	0	0	1	1	1	0
SAMPLE_ID	PATIENT_ID	TISSUE_SUPERGROUP	METASTATIC_SITE	PRIMARY_SITE	ONCOTREE_CODE	FREEZE_MEDIA	ANALYSIS_SET	CCLE_ID	SANGER_ID	CANCER_TYPE	CANCER_TYPE_DETAILED	SOMATIC_STATUS	SAMPLE_DISPLAY_NAME
S-888	P-888	Skin	NA	Skin	MEL	NA	True	NA	NA	Melanoma	Melanoma	Matched	
S-105KC	P-105KC	Sarcomatoid	NA	Cartilage	CHS	Complete growth medium, 90%; DMSO, 10%	False	NA	NA	Bone Cancer	Chondrosarcoma	Matched	
S-143B	P-143B	Sarcomatoid	NA	Bone	OS	Complete growth medium, 90%; DMSO, 10%	True	143B	NA	Bone Cancer	Osteosarcoma	Matched	143B_BONE
S-23132-87	P-23132-87	Stomach	NA	Stomach	STAD	Complete growth medium, 90%; DMSO, 10%	True	23132/87	23132-87	Esophagogastric Cancer	Stomach Adenocarcinoma	Matched	2313287_STOMACH
S-501A	P-501A	Skin	NA	Skin	MEL	90% FBS; 10% DMSO	False	NA	NA	Melanoma	Melanoma	Matched	
S-537-MEL	P-537-MEL	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Melanoma	Melanoma	Matched	
S-59M	P-59M	Ovary	NA	Ovary	OOVC	90% FBS; 10% DMSO	True	59M	NA	Ovarian Cancer	Ovarian Cancer, Other	Matched	59M_OVARY
S-624-mel	P-624-mel	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Melanoma	Melanoma	Matched	
S-769-P	P-769-P	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	769-P	769-P	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	769P_KIDNEY
S-786-O	P-786-O	Kidney	NA	Kidney	RCC	Complete growth medium, 90%; DMSO, 10%	True	786-O	786-0	Renal Cell Carcinoma	Renal Cell Carcinoma	Matched	786O_KIDNEY
S-928-mel	P-928-mel	Skin	NA	Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	NA	NA	Melanoma	Melanoma	Matched	
S-A-375	P-A-375	Skin		Skin	MEL	Complete growth medium, 90%; DMSO, 10%	True	A-375	A375	Melanoma	Melanoma	Matched	A375_SKIN
S-A-427	P-A-427	Lung	NA	Lung	LUNG	Complete growth medium, 90%; DMSO, 10%	True	NA	A427	Lung Cancer	Lung	Matched	
