Composite Element REF	Hugo_Symbol	Group	TCGA-N5-A4R8-01	TCGA-N5-A4RA-01	TCGA-N5-A4RD-01	TCGA-N5-A4RF-01	TCGA-N5-A4RJ-01	TCGA-N5-A4RM-01	TCGA-N5-A4RN-01	TCGA-N5-A4RO-01	TCGA-N5-A4RS-01	TCGA-N5-A4RT-01	TCGA-N5-A4RU-01	TCGA-N5-A4RV-01	TCGA-N5-A59E-01	TCGA-N5-A59F-01	TCGA-N6-A4V9-01	TCGA-N6-A4VC-01	TCGA-N6-A4VD-01	TCGA-N6-A4VE-01	TCGA-N6-A4VF-01	TCGA-N6-A4VG-01	TCGA-N7-A4Y0-01	TCGA-N7-A4Y5-01	TCGA-N7-A4Y8-01	TCGA-N7-A59B-01	TCGA-N8-A4PI-01	TCGA-N8-A4PL-01	TCGA-N8-A4PM-01	TCGA-N8-A4PN-01	TCGA-NG-A4VU-01	TCGA-NF-A4WU-01	TCGA-NA-A4QW-01	TCGA-N9-A4Q1-01	TCGA-N9-A4PZ-01	TCGA-NF-A4X2-01	TCGA-NF-A4WX-01	TCGA-NG-A4VW-01	TCGA-QN-A5NN-01	TCGA-N9-A4Q7-01	TCGA-N9-A4Q3-01	TCGA-ND-A4WF-01	TCGA-ND-A4WC-01	TCGA-ND-A4W6-01	TCGA-NA-A4QV-01	TCGA-NA-A4QX-01	TCGA-N8-A4PP-01	TCGA-NA-A4R1-01	TCGA-ND-A4WA-01	TCGA-NA-A5I1-01	TCGA-N8-A4PO-01	TCGA-N8-A56S-01	TCGA-NA-A4QY-01	TCGA-NF-A5CP-01	TCGA-QM-A5NM-01	TCGA-N9-A4Q8-01	TCGA-N8-A4PQ-01	TCGA-N9-A4Q4-01	TCGA-NA-A4R0-01
cg00013618		BodyBody	0.92844377203284	0.928395801525326	0.841622059765414	0.928731855400733	0.84446615874102	0.849637105425814	0.913270863779037	0.878049320009473	0.945709545088519	0.879072801433224	0.869934427840141	0.866976887828695	0.832721769326437	0.858647559589286	0.948009308206921	0.9455174734387	0.925490729982168	0.912292791084737	0.893975853188469	0.943306604405415	0.583823966800945	0.919716055338102	0.943507181819634	0.922589699171198	0.850334746071027	0.948489483657525	0.94068421705454	0.935373332358004	0.841812922807621	0.943107951893932	0.899939391066896	0.949052146465793	0.885367225284891	0.592528560378293	0.943264896807076	0.944397351000754	0.838152868872748	0.896687168576622	0.919296297838886	0.781312615840366	0.935092997605509	0.928456297823243	0.939459516110464	0.935580637597224	0.917891422092831	0.92531232570464	0.94580962161749	0.933367841393424	0.943481452118544	0.922257540570254	0.937635251491102	0.946186536305103	0.932004215096953	0.818864806492328	0.89914914952365	0.897519241413089	0.874731347453222
cg00059930		NA	0.835973654819328	0.777182234293532	0.776302322711739	0.887684302607105	0.788828340176521	0.820506672453	0.882961615964955	0.792155416492406	0.8291636220418	0.795401307972497	0.80153815607227	0.871788665517812	0.811354112876568	0.85352074196763	0.808765996835315	0.768131494963947	0.766146887459072	0.852524576332311	0.599770619888157	0.81176156787448	0.830345193551738	0.888434984800778	0.875429045107106	0.845190727510544	0.820703341970033	0.839853120746731	0.833074883021736	0.840039701571018	0.8780985054074	0.716013311475224	0.848065998703492	0.860070309989635	0.867700911506948	0.835230359756938	0.838372771175562	0.542023385937523	0.774674636369479	0.658744057486462	0.821390815587379	0.827964530857123	0.769425801347681	0.725427967695659	0.843598297898597	0.807272622425477	0.682924966910068	0.875435923123528	0.846427063303208	0.82715537164818	0.906276129053006	0.810268279662191	0.789043353241491	0.744732629003121	0.890044912463577	0.886233366523214	0.753160244044613	0.826135644720556	0.639655873546957
cg00061629		NA	0.820155742101626	0.920788228147436	0.909966170194845	0.871571032000893	0.807938111870779	0.90397853873984	0.878215226312359	0.906263483369505	0.312168704981873	0.895791790476531	0.902333869192712	0.106364825089845	0.893088663732803	0.510739878359733	0.939905862358713	0.885773225034916	0.82062321666549	0.788042770997999	0.849014935015842	0.910584541611929	0.215254085231408	0.927842656113593	0.896154595566232	0.757544394693568	0.92010244791403	0.801591191112045	0.736653931561219	0.934344709196344	0.930961001042658	0.749854474484313	0.925830848744961	0.913596424809384	0.878361683904374	0.845814474537917	0.669429502465744	0.706534120582813	0.912048577303013	0.867886428119833	0.85928825643074	0.930976926739266	0.898989432257813	0.849072984446859	0.811939100563437	0.92944863143058	0.866945301605873	0.933528664291102	0.78521552837736	0.898982105042695	0.806799729276702	0.878082418104124	0.875832369221278	0.815561988018874	0.751724868024335	0.54686451210825	0.878208380583365	0.892539606747005	0.757257963641124
cg00090147		Body	0.101909768553823	0.118871260652634	0.456728879359008	0.678860270223573	0.105258017143938	0.109815963092498	0.0831193713293871	0.674065159794343	0.0901550060404618	0.645396570813398	0.0984257948962186	0.562855999155721	0.331826092345095	0.134015669308849	0.112047900951707	0.594722757344353	0.102487063151464	0.0747231951314157	0.226762189777274	0.129490352141088	0.117013298069416	0.0866299976462665	0.098969947637422	0.204901578471062	0.108089323251563	0.10099655398739	0.1049643372271	0.0967589157408209	0.735338472013914	0.134916285514918	0.409440422075098	0.103961034320657	0.338225112290459	0.352089291861079	0.0993778539567288	0.252210834427676	0.117438305565122	0.473186624992742	0.10989385560131	0.0751961591981538	0.134309378024699	0.172113894215083	0.151101039716949	0.113155495510756	0.439578657094479	0.482449035206015	0.0792317436066695	0.469035030241003	0.122776990137183	0.120527625053398	0.101176590165087	0.21671424780856	0.28887506649909	0.634934207652642	0.167455307509153	0.10081240982662	0.355834700226073
cg00117172		NA	0.0383659840350441	0.0304665015748707	0.042333303967679	0.0646082724891985	0.0834973952739152	0.0288451823553894	0.0247040877424688	0.746061316121594	0.0463616211533083	0.0284944326564916	0.225906454836645	0.0227898142777938	0.062630540870344	0.0764795187710912	0.057768051463562	0.0255021988783746	0.170865918118042	0.0300026213258275	0.0816563647087798	0.452703747981989	0.458325532752489	0.0433672144358481	0.0502928714514147	0.9099699168729	0.0854794136657154	0.038308410281197	0.224258258296185	0.0289669395661488	0.117329680275054	0.0478312884925148	0.160303158532439	0.589678267136151	0.131704508705252	0.34977382160427	0.233771743901603	0.0343201596808858	0.102527621366292	0.0453505731973587	0.0417773850757416	0.0499223081191509	0.498772065382024	0.168354012950248	0.0322684302646754	0.0371669467026721	0.691901254448218	0.047108605044103	0.0374894998700863	0.0523225251654855	0.0447954723218682	0.0951941207275512	0.0610584298293454	0.541681326370661	0.837111046187452	0.0334101047975405	0.0971095249575956	0.346470071751763	0.09748599868213
cg00129774		NA	0.0343394344736963	0.0357112957515152	0.0339124604352485	0.040625691556468	0.0297133077863177	0.0298982087906876	0.0310775050128573	0.0327858103403131	0.0255121636071218	0.0263170897229651	0.0347902622673453	0.0325375834095709	0.031742703142979	0.0335116583159107	0.035076959112573	0.0321978824593763	0.0283245913237652	0.0324647342820656	0.0293279152652977	0.0310078535022137	0.031207774747448	0.0309436035348839	0.0421928245582843	0.0220526378550351	0.0340958160738977	0.0353073610884874	0.0424112268735344	0.0305759211755435	0.033761193324363	0.0307874052341035	0.0322223034837758	0.0266146918866449	0.0377485877219375	0.0392498803057526	0.0292967314384493	0.0332058150349096	0.0352104824079406	0.0313731621530381	0.0276676600932822	0.0397095314959931	0.0347798294402387	0.040903413324513	0.0305477125575897	0.0384246312609127	0.0265099448735986	0.0412056626191258	0.0330521967451029	0.0261407383361151	0.0298948083678903	0.0332492380328896	0.0395645694937492	0.0293488929174492	0.0481605148878574	0.042640719435569	0.0384417201379336	0.0314415763755019	0.0264513211595719
cg00210842		Body	0.0295472305708632	0.0260521330128559	0.0236304362705617	0.0325190959002487	0.0236190719154721	0.0197585772952811	0.0255770713202863	0.02032883335291	0.0228319040859397	0.0212235247811056	0.021422122068627	0.0249266131818231	0.0194846722565102	0.0309151221988159	0.0258282588753121	0.0249125591644602	0.0235094140753426	0.0223027069279575	0.0197470972885249	0.0224941302262209	0.0176930086216433	0.018162391927234	0.0261422544602545	0.0211074471918657	0.0204546359181127	0.0225370515241698	0.0320501349672744	0.0269773034853924	0.0232106057696787	0.0263679888106217	0.0260188049821456	0.0270774622022821	0.0238108035612151	0.027445966499635	0.0235568392285242	0.0321448656103718	0.0243499364293152	0.0332073682917989	0.0224023620052787	0.0227960142655632	0.0282358440649147	0.0227618287150838	0.0192248333392832	0.0206031806943789	0.0228992429376913	0.0313272194062255	0.0197249376102022	0.0194819510270874	0.0206466067691337	0.0288613369739641	0.0241797482336667	0.0232832640110488	0.0256468400788874	0.0237296766618744	0.026006698170467	0.0247334730696379	0.0219156254456478
cg00354258		TSS1500TSS200TSS1500	0.903026498106855	0.921176109546666	0.605129522154658	0.8082125762337	0.887378783954125	0.908317655176155	0.762954548709189	0.698750371942504	0.91301400618403	0.29756359286661	0.844933281181004	0.854748672416821	0.799100291790723	0.836121897561446	0.575055202702008	0.595537910108788	0.820857104273095	0.895686826690482	0.763138794020156	0.9500378142574	0.68961128865055	0.93884979543854	0.721708431583582	0.906039764647149	0.5420489005848	0.679522436632578	0.351811672241781	0.918700640407796	0.89532212959912	0.840401675983999	0.912331270647618	0.878607222526344	0.724396310520194	0.707383237117308	0.895832337076653	0.859652087089823	0.816506799202181	0.849659667502256	0.913258838940319	0.483675955660987	0.898409201008428	0.68388182074694	0.885289783657188	0.918199152035626	0.686576013834378	0.89194210781601	0.826077922078654	0.670885024325458	0.926697344612653	0.891861093557486	0.720553143680152	0.772573836130479	0.932911660481936	0.90397282806554	0.453247748764425	0.185854044375605	0.84292982356283
cg00399483		Body	0.128083047800205	0.123344490902335	0.148852797477803	0.857019087684161	0.563029343592592	0.0863290534969777	0.33850481713994	0.177299978324733	0.080034473224828	0.15380428340025	0.397220413181259	0.121794198464356	0.117030362801449	0.41758743793159	0.116669241709003	0.208063458218097	0.116174318808092	0.0902783284415049	0.547468857779589	0.442567554023568	0.815615793323782	0.075997445315949	0.0992750509310795	0.417454672498039	0.237848861724195	0.441775110362756	0.131908130104787	0.114116134452369	0.135633661030449	0.158621945513154	0.110267200594019	0.255626028661507	0.0938795433690262	0.763343962380087	0.51007234560824	0.390510765014292	0.549939686374267	0.573049419479995	0.792609182746246	0.247971256756932	0.70955478394123	0.139359101074394	0.111034759832573	0.118470289610529	0.661058545732483	0.105858001882533	0.0681919632505288	0.567683073768195	0.146209196515966	0.0743806669099347	0.108213405473697	0.275904514740246	0.281841349417	0.857481887405296	0.230382901575749	0.067201538843373	0.278098229900428
cg00418150		Body	0.529830115276156	0.507708999519664	0.627043379222874	0.330684898488586	0.477249792869312	0.324410131069552	0.326852008493684	0.704576986782053	0.429972362461196	0.360799028950822	0.614629903506387	0.238832506577655	0.679455145066682	0.505561707561328	0.82043603240414	0.724000009276026	0.517851431546039	0.506350391342781	0.386200696355514	0.756773904234279	0.199187987276946	0.296061964306765	0.526760017208589	0.360395024615907	0.224229667434319	0.476503074596196	0.367950719881257	0.576846239750282	0.461391953449129	0.605038706727808	0.740632247859552	0.799071275667299	0.372742554516415	0.359955784852353	0.385451537788175	0.290057689619717	0.424777871995979	0.584735368613926	0.782330942031351	0.335731328262987	0.72253924997874	0.559135178573426	0.706687401399069	0.498172922702054	0.553418310114103	0.823501583270174	0.4354030641594	0.459615595568402	0.321288560371101	0.602997987877776	0.690092592486373	0.58781145121068	0.32649038507888	0.627149402665215	0.576481227834593	0.555744318932554	0.597789672746784
