NORMALIZED_COLUMN_HEADER	DISPLAY_NAME	DESCRIPTIONS	DATATYPE	ATTRIBUTE_TYPE	PRIORITY	CATEGORY	VOCABULARY	COLOR	FLAG
AGE_AT_DIAGNOSIS_mel_cell_2016									
AGE_AT_DIAGNOSIS_mel_cell_2016_priority									
AGE_CURRENT_mixedpact									
AGE_CURRENT_mixedpact_priority									
AGE_CURRENT_mskimpact									
AGE_CURRENT_mskimpact_priority									
AGE_CURRENT_sclc_mskimpact_2017									
AGE_CURRENT_sclc_mskimpact_2017_priority									
AGE_mixedpact									
AGE_mixedpact_priority									
BIOPSY_TIME_mel_cell_2016									
BIOPSY_TIME_mel_cell_2016_priority									
AA_DNA_MUTATION_SIGNATURE	AA DNA MUTATION SIGNATURE	AA DNA MUTATION SIGNATURE	STRING	SAMPLE	1				
AA_SIGNATURE_NON_NORMALIZED	AA SIGNATURE NON NORMALIZED	AA SIGNATURE NON NORMALIZED	STRING	SAMPLE	1				
AA_SIGNATURE_NORMALIZED	AA SIGNATURE NORMALIZED	AA SIGNATURE NORMALIZED	STRING	SAMPLE	1				
ABDOMINAL_DISTENSION	Abdominal Distension (Weeks)	Abdominal Distension (Weeks)	NUMBER	PATIENT	1				
ABDOMINAL_MASS_WEEKS	Abdominal Mass (Weeks)	Abdominal Mass (Weeks)	NUMBER	PATIENT	1				
ABDOMINAL_PAIN_WEEKS	Abdominal Pain (Weeks)	Abdominal Pain (Weeks)	NUMBER	PATIENT	1				
ABERRANT_CELL_FRACTION	Aberrant Cell Fraction	Aberrant Cell Fraction	STRING	SAMPLE	1				
ABI_ENZA_EXPOSURE_STATUS	Abiraterone (ABI) and Enzalutamide (ENZA) Exposure Status	Abiraterone (ABI) and Enzalutamide (ENZA) Exposure Status	STRING	PATIENT	1				
ABLATION_EMBOLIZATION_TX_ADJUVANT	Ablation embolization tx adjuvant	Ablation embolization tx adjuvant	STRING	PATIENT	1				
ABNORMAL_LYMPHOCYTE_PERCENT	Abnormal Lymphocyte Percent	Abnormal Lymphocyte Percent	NUMBER	SAMPLE	1				
ABSOLUTE_CANCER_DNA_FRACTION	Absolute cancer dna fraction	Absolute cancer dna fraction	NUMBER	SAMPLE	1				
ABSOLUTE_EXTRACT_PLOIDY	Absolute Extract Ploidy	Absolute extract ploidy.	NUMBER	SAMPLE	1				
ABSOLUTE_EXTRACT_PURITY	Absolute Extract Purity	Absolute extract purity.	NUMBER	SAMPLE	1				
ABSOLUTE_GENOME_DOUBLINGS	Absolute Genome Doublings	Absolute Genome Doublings	STRING	SAMPLE	1				
ABS_NEUTROPHIL_VALUE	Abs Neutrophil Value	Abs Neutrophil Value	STRING	PATIENT	1				
ACCESSION_OUT	Accession Out	Accession Out	STRING	SAMPLE	1				
ACGH_DATA	ACGH Data	ACGH Data.	STRING	SAMPLE	1				
ACGH_TUMOR_TYPE	aCGH Tumor Type	aCGH Tumor Type	STRING	SAMPLE	1				
ACHIEVED_RESECTION	Achieved Resection	Achieved Resection	STRING	PATIENT	1				
ACTIONABLE_ALTERATIONS	Actionable Alterations	Number of actionable alterations	NUMBER	SAMPLE	1				
ACTIONABLE_ALT_LEVEL	Level of actionable alterations	Level of actionable alterations	STRING	SAMPLE	1				
ADDITIONAL_NOTES	Additional Notes	Additional Notes	STRING	SAMPLE	1				
ADDITIONAL_RX_TX	Additional Radiation Therapy	Additional radiation therapy Yes/No indicator	STRING	PATIENT	1				
ADDITIONAL_SAMPLE	Is there an additional sample?	Is there an additional sample?	STRING	SAMPLE	1				
ADDITIONAL_SURGERY_FOR_NEW_TUMOR_EVENT	Additional Surgery For New Tumor Event	Additional Surgery For New Tumor Event	STRING	SAMPLE	1				
ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_PHARMACEUTICAL	Additional Treatment For New Tumor Event: Pharmaceutical	Additional Treatment For New Tumor Event: Pharmaceutical	STRING	PATIENT	1				
ADDITIONAL_TREATMENT_FOR_NEW_TUMOR_EVENT_RADIATION	Additional Treatment For New Tumor Event: Radiation	Additional Treatment For New Tumor Event: Radiation	STRING	PATIENT	1				
ADIPOSE_TISSUE_PERCENTAGE	% Adipose Tissue	% Adipose Tissue	NUMBER	SAMPLE	1				
ADJUVANT_CHEMO	Adjuvant Chemotherapy	Adjuvant Chemotherapy	STRING	PATIENT	1				
ADJUVANT_CT	Adjuvant Chemotherapy	Adjuvant chemotherapy receivec	STRING	PATIENT	1				
ADJUVANT_FOLFOX_METACHRONOUS_METS	Metachronous Mets received adj FOLFOX	For metachronous mets, did they get adjuvant FOLFOX	STRING	SAMPLE	1				
ADJUVANT_HAIP	Adjuvant HAIP	Adjuvant HAIP	STRING	PATIENT	1				
ADJUVANT_HORMONE_THERAPY	Adjuvant Hormone Therapy	Adjuvant Hormone Therapy	STRING	PATIENT	1				
ADJUVANT_NEOADJ_IMATINIB	Adjuvant/Neoadjuvant Imatinib	Adjuvant/Neoadjuvant Imatinib	STRING	PATIENT	1				
ADJUVANT_TX	Adjuvant Treatment	Adjuvant treatment.	STRING	PATIENT	1				
ADJ_RT_AFTER_FIRST_SURGERY	Adjuvant RT after first surgery?	Adjuvant RT after first surgery?	STRING	PATIENT	1				
ADJ_TX_AFTER_FIRST_SURGERY	Adjuvant therapy after first surgery?	Adjuvant therapy after first surgery?	STRING	PATIENT	1				
ADJ_XRT	MedR Adjuvant Radiation	Status of adjuvant radiation therapy. Adjuvant therapy is therapy received after surgery.	STRING	PATIENT	1				
ADMINISTRATION_OF_DRUG_WEEKS	Administration Of Drug Weeks	Administration Of Drug Weeks	NUMBER	PATIENT	1				
AE1	AE1	AE1	STRING	SAMPLE	1				
AE1_AE3_STAIN	AE1:AE3 Stain	AE1:AE3 Stain	STRING	SAMPLE	1				
AFB1_SIGNATURE_NON_NORMALIZED	AFB1 SIGNATURE NON NORMALIZED	AFB1 SIGNATURE NON NORMALIZED	STRING	SAMPLE	1				
AFB1_SIGNATURE_NORMALIZED	AFB1 SIGNATURE NORMALIZED	AFB1 SIGNATURE NORMALIZED	STRING	SAMPLE	1				
AFP_AT_PROCUREMENT	AFP At Procurement	Alpha Fetoprotein At Procurement	STRING	SAMPLE	1				
AFP_NORM_RANGE_LOWER	AFP Normal Range Lower Bound	AFP Normal Range Lower Bound	STRING	SAMPLE	1				
AFP_NORM_RANGE_UPPER	AFP Normal Range Higher Bound	AFP Normal Range Higher Bound	STRING	SAMPLE	1				
AGE	Diagnosis Age	Age at which a condition or disease was first diagnosed.	NUMBER	PATIENT	1				
AGENT	AGENT	AGENT	STRING	PATIENT	1				
AGE_AT_BIRTH_OF_FIRST_CHILD	Age at Birth Of First Child	Age at Birth Of First Child	NUMBER	PATIENT	1				
AGE_AT_BMI_MEASUREMENT	Age at BMI Measurement	Age at BMI Measurement	NUMBER	PATIENT	1				
AGE_AT_DEATH	Age at Death	Age at Death	STRING	PATIENT	1				
AGE_AT_DIAGNOSIS	Age at Diagnosis	Age at Diagnosis	NUMBER	PATIENT	1				
AGE_AT_DIAGNOSIS_GROUP	MedR Age at Diagnosis	Patient's age at the time of primary diagnosis with cancer grouped into 5 year intervals.	STRING	PATIENT	1				
AGE_AT_INITIAL_DIAGNOSIS	Age at Initial Diagnosis	Age recorded at initial diagnosis	NUMBER	SAMPLE	1				
AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS	Age At Initial Pathological Diagnosis	Age At Initial Pathological Diagnosis	NUMBER	PATIENT	1				
AGE_AT_LAST_FOLLOWUP	Age At Last Follow-Up	Age At Last Follow-up	NUMBER	PATIENT	1				
AGE_AT_PROCEDURE	Age at Procedure	Age recorded at procedure	NUMBER	SAMPLE	1				
AGE_AT_PROCUREMENT	Age At Procurement	Age At Procurement Of The Submitted Specimen	NUMBER	PATIENT	1				
AGE_AT_RELAPSE	Age at relapse	Age at relapse	NUMBER	PATIENT	1				
AGE_AT_SEQ_REPORT	Age at Which Sequencing was Reported	Age (in days) at which sequencing was reported	NUMBER	SAMPLE	1				
AGE_AT_SURGERY	Age At Surgery	Age at surgery.	NUMBER	PATIENT	1				
AGE_CELL_LINE_YEAR	Age of patient when cell line was established	Age of patient when cell line was established	NUMBER	PATIENT	1				
AGE_CLASS	Age Class	Age Class	NUMBER	PATIENT	1				
AGE_CURRENT	Patient Current Age	Patient Current Age	NUMBER	PATIENT	1				
AGE_FUDR_START	Age at start of FUDR treatment	Patient age in years at the start of FUDR treatment	NUMBER	PATIENT	1				
AGE_GROUP	Age Group at Diagnosis in Years	Age Group at Diagnosis in Years	STRING	PATIENT	1				
AGE_IN_DAYS	Diagnosis Age (days)	Age at which a condition or disease was first diagnosed.	NUMBER	PATIENT	1				
AGE_REGISTRATION	Age at registration of the study	Age at registration of the study	NUMBER	PATIENT	1				
AGE_TESTING_YEARS	Age at Testing (Years)	Age at Testing (Years)	NUMBER	PATIENT	1				
AJCC_CLINICAL_TUMOR_STAGE	Neoplasm Disease Stage American Joint Committee on Cancer Code	The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.	STRING	PATIENT	1				
AJCC_INCIDENTAL_PROSTATE_CANCER	AJCC Incidental Prostate Cancer	American Joint Committee on Cancer Code Incidental Prostate Cancer	STRING	SAMPLE	1				
AJCC_METASTASIS_CLINICAL_CM	Neoplasm American Joint Committee on Cancer Clinical Distant Metastasis M Stage	Extent of the distant metastasis for the cancer based on evidence obtained from clinical assessment parameters determined prior to treatment.	STRING	PATIENT	1				
AJCC_METASTASIS_PATHOLOGIC_PM	American Joint Committee on Cancer Metastasis Stage Code	Code to represent the defined absence or presence of distant spread or metastases (M) to locations via vascular channels or lymphatics beyond the regional lymph nodes, using criteria established by the American Joint Committee on Cancer (AJCC).	STRING	PATIENT	1				
AJCC_NODES_CLINICAL_CN	American Joint Committee on Cancer Lymph Node Stage Code	The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	STRING	PATIENT	1				
AJCC_NODES_CLINICAL_CT	American Joint Committee on Cancer Lymph Node Stage Code	The codes that represent the stage of cancer based on the nodes present (T stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	STRING	PATIENT	1				
AJCC_NODES_PATHOLOGIC_PN	Neoplasm Disease Lymph Node Stage American Joint Committee on Cancer Code	The codes that represent the stage of cancer based on the nodes present (N stage) according to criteria based on multiple editions of the AJCC's Cancer Staging Manual.	STRING	PATIENT	1				
AJCC_PATHOLOGIC_TUMOR_STAGE	Neoplasm Disease Stage American Joint Committee on Cancer Code	The extent of a cancer, especially whether the disease has spread from the original site to other parts of the body based on AJCC staging criteria.	STRING	PATIENT	1				
AJCC_STAGING_EDITION	American Joint Committee on Cancer Publication Version Type	The version or edition of the American Joint Committee on Cancer Cancer Staging Handbooks, a publication by the group formed for the purpose of developing a system of clinical staging for cancer that is acceptable to the American medical profession and is compatible with other accepted classifications.	STRING	PATIENT	1				
AJCC_TUMOR_CLINICAL_CT	American Joint Committee on Cancer Tumor Stage Code	Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).	STRING	PATIENT	1				
AJCC_TUMOR_PATHOLOGIC_PT	American Joint Committee on Cancer Tumor Stage Code	Code of pathological T (primary tumor) to define the size or contiguous extension of the primary tumor (T), using staging criteria from the American Joint Committee on Cancer (AJCC).	STRING	PATIENT	1				
AKT1_E17K_MUTATION_STATUS	AKT1 E17K Mutation Status	AKT1 E17K Mutation Status	STRING	SAMPLE	1				
AKT1_MUTATION	AKT1 Mutation	AKT1 Mutation	STRING	SAMPLE	1				
ALB_G_DL	alb (g/dl)	alb (g/dl)	STRING	SAMPLE	1				
ALCOHOL	Alcohol	Alcohol	STRING	PATIENT	1				
ALCOHOL_CONSUMPTION_FREQUENCY	Alcohol Consumption Frequency	Alcohol Consumption Frequency	STRING	PATIENT	1				
ALCOHOL_EXPOSURE_INTENSITY	Alcohol Exposure Intensity	Alcohol Exposure Intensity	STRING	PATIENT	1				
ALCOHOL_HISTORY_DOCUMENTED	Alcohol History Documented	Alcohol History Documented	STRING	PATIENT	1				
ALC_COUNT	ALC Count	ALC Count	STRING	PATIENT	1				
ALIAS	Alias	Other cell line name or ATCC identifier	STRING	SAMPLE	1				
ALK_ANALYSIS_TYPE	ALK Analysis Type	ALK Analysis Type	STRING	SAMPLE	1				
ALK_TRANSLOCATION_STATUS	ALK Translocation Status	ALK Translocation Status	STRING	SAMPLE	1				
ALK_TRANSLOCATION_VARIANT	ALK Translocation Variant	ALK Translocation Variant	STRING	SAMPLE	1				
ALLELE_FREQUENCY_CELLULARITY	Cllularity based on allele frequency	Cllularity based on allele frequency	NUMBER	SAMPLE	1				
ALLERGIES	Allergies	Allergies	STRING	PATIENT	1				
ALPHA_FETOPROTIEN_AT_PROCUREMENT	AFP At Procurement	Alpha Fetoprotein At Procurement	STRING	PATIENT	1				
ALPHA_FETOPROTIEN_NORMAL_RANGE_LOWER	AFP Normal Range Lower Bound	AFP Normal Range Lower Bound	STRING	PATIENT	1				
ALPHA_FETOPROTIEN_NORMAL_RANGE_UPPER	AFP Normal Range Higher Bound	AFP Normal Range Higher Bound	STRING	PATIENT	1				
ALP_U_L	alp (u/l)	alp (u/l)	STRING	SAMPLE	1				
ALTERATIONS	Alterations	Alterations	STRING	SAMPLE	1				
ALTERNATE_THERAPY	Alternative Therapy Given	Alternative Therapy Given	STRING	PATIENT	1				
