geneID	Symbol	MSK-PCa8_ORG	MSK-PCa9_ORG	MSK-PCa10_ORG	MSK-PCa11_ORG	MSK-PCa12_ORG	MSK-PCa13_ORG	MSK-PCa14_ORG	MSK-PCa15_ORG	MSK-PCa16_ORG	MSK-PCa17_ORG	MSK-PCa18_ORG	MSK-PCa19_ORG	MSK-PCa20_ORG	MSK-PCa22_ORG	MSK-PCa24_ORG
ENSG00000005955.8		52.8	99.41	59.06	53.44	48.3	65.35	66.97	46.7	82.21	31.55	42.24	50.43	26.36	37.78	49.43
ENSG00000006074.4		0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0
ENSG00000006075.11		0.1	0	0.27	0	0.13	0	0	0	0	0	0	0	0	0	0
ENSG00000006114.11		17.25	25.41	28.12	23.09	11.26	25.22	20.52	29.12	20.92	7.68	16.02	6.56	4.11	28.14	36.86
ENSG00000017373.11		8.97	21.2	8.47	13.35	2.23	49.42	21.78	8.93	3.95	14.67	0.67	3.7	5.92	0.13	5.82
ENSG00000017621.11		9.86	2.48	2.78	3.81	0.86	12.11	8.35	1.96	1.55	9.92	1.01	0.79	1.82	1.76	0.86
ENSG00000031544.10		0.14	0.3	0.04	0.07	0.15	0.22	0.1	0.39	0.07	0.52	0.04	0.29	0.12	0.05	0.06
ENSG00000034063.9		33.74	26.18	53.49	30.54	8.36	12.64	64.39	17.16	53.12	13.86	17.22	13.9	3.83	3.17	20.25
ENSG00000049319.2		0.03	1.61	0.02	0.27	0	0.06	0	0.06	0.02	0.01	0	0.12	0	0	0.02
ENSG00000056661.9		43.12	58.19	55.37	52.14	17	44.36	67.71	56.01	82.73	29.42	12.75	26.64	29.04	11.14	64.84
ENSG00000068793.13		49.69	153.45	35.66	87.7	93.11	56.28	64.27	113.71	180.92	106.31	48.25	36.35	32	82.92	36.81
ENSG00000069712.9		2.73	0.86	3.62	1.6	2.05	1.28	1.91	1.47	1.54	0.75	2.14	0.96	0.47	2.15	5.48
ENSG00000072444.10		0	0.07	0	0	0	0	0	0	0	0	0.52	0	0	0	0
ENSG00000073009.8		27.18	19.53	16.38	15.68	27.75	20.24	19.8	24.71	12.06	29.1	12	10.86	4.83	14.46	9.27
ENSG00000077809.8		243.17	69.09	211.54	174.43	138.7	130.08	264.41	204.77	135.3	111.65	236.88	97.49	106.98	186.05	244.11
ENSG00000083842.8		0.26	0.28	0.46	0.3	0.13	0.32	0.3	0.27	0.51	0.18	0.09	0.27	0.12	0.07	0.2
ENSG00000087916.7		37.2	22.65	0	0.61	4.4	11.83	3.38	0.14	2.18	0.58	12.68	1.12	6.61	0.14	0
ENSG00000090920.9		1.3	13.76	0.24	1.82	0.79	1266.98	3.12	3.56	0.03	14.06	0.1	0.1	0.03	0.11	0.05
ENSG00000102069.3		0	0.01	0	0	0.04	0.04	0.02	0	0.1	0	0	0.06	0	0.09	0
ENSG00000102080.8		0	0	0	0	0	0	0	0.05	0	0	0	0.01	0	0	0
ENSG00000104725.9		0	0	0	0	0	0.49	0	0	0.06	0.05	4.67	0	0.01	0	0
ENSG00000105663.10		11.76	7.55	13.58	10.19	4.59	16.72	14.91	16.01	8.67	7.16	5.21	17.12	10.19	2.94	9.55
ENSG00000107618.4		0.06	1.3	0.01	0.01	0.09	0.01	0.02	0	0	0.03	0	0	0.01	0	0.01
ENSG00000107623.4		0	0	0	0.01	0	0	0.08	0.17	0	0	0	0	0	0	0
ENSG00000108264.12		10.93	24.93	29.29	18.21	10.48	11.33	17.32	15.03	35.16	4.02	14.74	9.5	3.61	5.61	26.6
ENSG00000108270.6		35.85	33.5	44.81	35.83	29.78	34.57	51.03	187.52	54.97	44.87	28.99	25.88	9.11	22.62	46.63
ENSG00000108272.9		10.08	5.46	15.21	11.56	5.18	37.04	18.47	13.52	7.53	12.11	23.45	8.3	8.76	9.44	11.57
ENSG00000108278.7		40.71	15.73	83.97	53.58	31.94	47.42	54.81	68.9	15.92	43.93	39.18	62.11	17.64	31.85	89.2
ENSG00000108292.12		39.21	72.96	52.8	55.75	23.53	79.26	125.2	81.96	184.17	29.95	33.76	20.83	24.73	9.1	45
ENSG00000108294.4		208.51	77.44	364.4	195.15	145.58	150.76	152.69	487.53	101.28	148.57	140.47	207.8	132.31	124.84	352.48
ENSG00000108296.7		13.8	20.08	20.38	23.43	8.86	13.77	14.93	31.27	16.32	9.39	12.85	11.96	16.89	7.38	22.89
ENSG00000108753.8		0.04	0.04	0.03	0.04	0.01	22.92	0.09	0.28	0.02	0.03	7.18	4.59	0	0	0.06
ENSG00000110347.7		0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.16	0
ENSG00000116957.8		29.68	21.25	41.4	58.91	24.73	8.02	32.58	66.12	35.04	15.19	24.61	36.59	23.02	19.67	36.02
ENSG00000117289.7		152.54	70.84	44.56	22.67	442.64	169.48	58.88	32.8	39.23	41.53	110.21	81.48	20.86	42.58	45.14
ENSG00000120586.4		0.01	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0
ENSG00000121848.9		22.49	12.07	17.77	27.69	10.87	16.14	10.39	16.76	9.24	13.08	12.12	7.93	5.57	24.38	17.5
ENSG00000122497.13		6.73	1.53	2.46	5.55	5.58	10.22	8.4	6.75	0.83	5.9	3.31	4.29	3.66	3.49	6.66
ENSG00000122718.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124529.3		0.32	0.07	0.22	1.2	0.21	0	0	0	0.12	0	0.18	0.76	0.26	0	0
ENSG00000124578.4		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
