Composite Element REF	Hugo_Symbol	Group	TCGA-OR-A5J1-01	TCGA-OR-A5J2-01	TCGA-OR-A5J3-01	TCGA-OR-A5J4-01	TCGA-OR-A5J5-01	TCGA-OR-A5J6-01	TCGA-OR-A5J7-01	TCGA-OR-A5J8-01	TCGA-OR-A5J9-01	TCGA-OR-A5JA-01	TCGA-OR-A5JB-01	TCGA-OR-A5JC-01	TCGA-OR-A5JD-01	TCGA-OR-A5JE-01	TCGA-OR-A5JF-01	TCGA-OR-A5JG-01	TCGA-OR-A5JI-01	TCGA-OR-A5JJ-01	TCGA-OR-A5JK-01	TCGA-OR-A5JL-01	TCGA-OR-A5JM-01	TCGA-OR-A5JO-01	TCGA-OR-A5JP-01	TCGA-OR-A5JQ-01	TCGA-OR-A5JR-01	TCGA-OR-A5JS-01	TCGA-OR-A5JT-01	TCGA-OR-A5JV-01	TCGA-OR-A5JW-01	TCGA-OR-A5JX-01	TCGA-OR-A5JY-01	TCGA-OR-A5JZ-01	TCGA-OR-A5K0-01	TCGA-OR-A5K1-01	TCGA-OR-A5K2-01	TCGA-OR-A5K3-01	TCGA-OR-A5K4-01	TCGA-OR-A5K5-01	TCGA-OR-A5K6-01	TCGA-OR-A5K8-01	TCGA-OR-A5K9-01	TCGA-OR-A5KO-01	TCGA-OR-A5KT-01	TCGA-OR-A5KU-01	TCGA-OR-A5KV-01	TCGA-OR-A5KW-01	TCGA-OR-A5KX-01	TCGA-OR-A5KY-01	TCGA-OR-A5KZ-01	TCGA-OR-A5L3-01	TCGA-OR-A5L4-01	TCGA-OR-A5L5-01	TCGA-OR-A5L6-01	TCGA-OR-A5L8-01	TCGA-OR-A5L9-01	TCGA-OR-A5LA-01	TCGA-OR-A5LB-01	TCGA-OR-A5LC-01	TCGA-OR-A5LD-01	TCGA-OR-A5LE-01	TCGA-OR-A5LG-01	TCGA-OR-A5LH-01	TCGA-OR-A5LJ-01	TCGA-OR-A5LK-01	TCGA-OR-A5LL-01	TCGA-OR-A5LM-01	TCGA-OR-A5LN-01	TCGA-OR-A5LO-01	TCGA-OR-A5LP-01	TCGA-OR-A5LR-01	TCGA-OR-A5LS-01	TCGA-OR-A5LT-01	TCGA-OU-A5PI-01	TCGA-P6-A5OF-01	TCGA-PA-A5YG-01	TCGA-PK-A5H8-01	TCGA-PK-A5H9-01	TCGA-PK-A5HA-01	TCGA-PK-A5HB-01
cg00013618		BodyBody	0.948025265022376	0.746539123770705	0.945444630895513	0.636260576120258	0.949866366471096	0.91064021042919	0.946772189257826	0.495629943215159	0.954512346479438	0.825355082723798	0.920751155296719	0.891776458451051	0.864265117459334	0.948445120797032	0.940499669348961	0.952089062667144	0.935561751135146	0.955500834743393	0.773028900990969	0.932974621503579	0.930357096195359	0.786158434863136	0.934162296868683	0.908917396761175	0.918027473042689	0.942279951662427	0.926903057740588	0.778797843238749	0.92199922838785	0.941172752833532	0.828592920656617	0.885324619782287	0.918090381277031	0.949562677610903	0.947792463918651	0.736648391351468	0.807862891698424	0.955822143650634	0.949445317126921	0.928436777831322	0.936016534297096	0.930870781260197	0.823462117089943	0.943098703277483	0.957083834359013	0.858701140797601	0.95098739480438	0.943694750109415	0.313361580810251	0.801960005223527	0.839128889182225	0.927847185706722	0.941476621486135	0.92812565913161	0.905968041410044	0.946417457073338	0.932139425334082	0.896432547279223	0.951261717855635	0.798585017354586	0.289449586990135	0.95458633013823	0.885013285474345	0.874363319489355	0.782608339646404	0.939766461310579	0.956624558315522	0.958386347400963	0.875939890472969	0.937518658879372	0.952226387716499	0.531281880834938	0.948367705191553	0.942595064379696	0.76058490980144	0.941926420870104	0.890289048455891	0.935954494288028	0.809049672876823
cg00059930		NA	0.849410473122431	0.853812623581507	0.869251978072677	0.846373195662381	0.880412233096836	0.642563042040842	0.853098613916888	0.740611125418924	0.85621314810835	0.883993178042317	0.742297298605689	0.783150137833769	0.797068130355579	0.814405420783291	0.828038653028852	0.834932612251415	0.763614586929714	0.86280069419796	0.735546558521641	0.8267284888158	0.88348230649342	0.528985879001983	0.828844132605433	0.766331826208375	0.796025876608026	0.848111650435938	0.280741883940202	0.652495159914058	0.83944548710049	0.845536935411867	0.861598320482146	0.808111842709137	0.874419119247116	0.829711901695861	0.873700486300573	0.811177598172867	0.89554752516637	0.870676800455042	0.823510378868398	0.847387366076865	0.896803722618848	0.888596854230181	0.76678300285246	0.814882944084367	0.886113570360528	0.823888900248956	0.902864520940423	0.79893421470975	0.888551107246878	0.816102075605378	0.833927271372176	0.722893099343511	0.843930783307096	0.917942805643408	0.76308876901752	0.756971295354952	0.908058410347669	0.835871608335949	0.892568626582113	0.863910818985749	0.819412786527338	0.822054488324792	0.871801582815442	0.639950465725719	0.80786737933442	0.841349319145033	0.851639484449095	0.912550555810636	0.710251594517436	0.859335011043373	0.833482938024093	0.891437590929982	0.834183674085112	0.792787659323229	0.695586739382829	0.862504269358488	0.849941300418461	0.743783111578553	0.875650176223554
cg00061629		NA	0.939802347393468	0.200553094708142	0.908825563477424	0.941524184449829	0.930579010812816	0.152745315694868	0.934005263096615	0.927848783864877	0.943296727330501	0.920467935733692	0.228470285764442	0.878643160317941	0.40972089223792	0.94762574029669	0.464000347680572	0.92649635567276	0.559711819924015	0.942004377362942	0.504526171352086	0.616861677527911	0.948311952099484	0.197329499159558	0.919912733155167	0.463760731666402	0.319329498097811	0.869605508623386	0.689620217209286	0.866014657484765	0.916230670302665	0.194606679784701	0.940558594669538	0.689003878875405	0.95031494085434	0.892805536902007	0.935019095123369	0.939615976080674	0.941874353795211	0.950045073850175	0.308688838543756	0.835322521820088	0.948759314499078	0.946379096944201	0.708047737694989	0.94040311082791	0.257996195324779	0.159980874337788	0.953266667769641	0.862872298277947	0.791595069756844	0.149120325456482	0.649447401570161	0.53908963187772	0.915923223688907	0.869751744191976	0.896306516294985	0.390601443143852	0.76203310593879	0.449736608393703	0.959021024031241	0.947210484262283	0.123624288464098	0.248441595380154	0.821384370819681	0.905503208997795	0.505137835927503	0.933353900424901	0.0824307797769433	0.944666636887696	0.30968483489618	0.336281986795934	0.946018831859336	0.490418253589657	0.935137108508595	0.916483458428241	0.150624148735811	0.917990562676573	0.413911705733703	0.936212532408936	0.938746931151171
cg00090147		Body	0.0854818471314888	0.069982940198632	0.139488289380492	0.542799404945434	0.600784544150464	0.115039723267845	0.704594476043911	0.175051572544462	0.538875148428241	0.497931305893667	0.174932502795754	0.647847281306484	0.471975756947061	0.666685755265315	0.137942003373597	0.201851896441248	0.133561454254522	0.13369117104309	0.428525768344831	0.117730818270544	0.809066599647845	0.417012741490281	0.687877272231008	0.530808418634199	0.130435842833468	0.096308088320835	0.410178816929753	0.258050742092288	0.107124709802967	0.359238596790954	0.222935052609541	0.314210768708347	0.364195422723294	0.113268428811052	0.731635011912541	0.107430436871244	0.107166162171888	0.101786499359592	0.0948583457476317	0.115365894622916	0.645675058242556	0.427005569280003	0.126347418386004	0.112669846991126	0.0950314392696371	0.217573728002819	0.794472965450611	0.18712954030504	0.0688141929028501	0.107174526521521	0.132868956487246	0.119074096636475	0.132203078232841	0.511299537591123	0.386440167264305	0.119227924515272	0.107623665583489	0.387005075704257	0.77795855198644	0.526269261709667	0.163837066590629	0.120400586203417	0.113400071341544	0.125509506025086	0.117800821594802	0.131745092728381	0.306197905000102	0.549934542040717	0.537665591055474	0.114164164661556	0.117360075842338	0.113516023680849	0.202197337387879	0.699966211273706	0.12372764421431	0.183718620852274	0.479663073742736	0.320066115738474	0.0860375776190959
cg00117172		NA	0.890816620930989	0.0346564614421893	0.127508644123079	0.857324428227001	0.0397011230183736	0.0399963819721265	0.833919973224017	0.42122300709536	0.879016346735389	0.723350271441586	0.548700025183128	0.416746693206617	0.090152643379543	0.815806389188424	0.0819606619557452	0.238460910822442	0.0668522595651361	0.120740473003516	0.0389713227000557	0.0799145426152359	0.926745247709613	0.0485261752494711	0.575778075586136	0.0726117925382622	0.732115837213262	0.0408136281783481	0.0458940112910542	0.326556769719596	0.122265478239976	0.0293750145767812	0.608865148908478	0.0384982857846124	0.922035612411227	0.768531559847432	0.847276887587385	0.0441513901282923	0.0364800956037166	0.856296005331166	0.0519760260300076	0.105908249463723	0.7351805376333	0.153924708194041	0.0483969834485701	0.0358929007180044	0.0995596089453652	0.0421637880997227	0.908700458574934	0.478497892631499	0.0242971739477887	0.0399758021305673	0.074339769901391	0.0622856535762385	0.0402859270250474	0.0618424058418477	0.033738353790699	0.043606951561712	0.046399655177516	0.107365598633463	0.920350418198946	0.599975903809603	0.0322984509233982	0.0315337363549561	0.156310539952629	0.351959173725582	0.296801198147191	0.0361326581961665	0.0336845933389735	0.357448636170594	0.0786295380192165	0.0439080578077862	0.0379369803453593	0.0437562809041963	0.0813201437146313	0.492089334453091	0.07830547536214	0.108286932194103	0.124076193760528	0.579769027753535	0.534253543919252
cg00129774		NA	0.0351002861855224	0.0268631324595861	0.0277501690413506	0.0299045674743165	0.0369072316904494	0.0291570972844856	0.0433435607408789	0.0268944671456124	0.0335182365664324	0.0313239790355503	0.0313331837031046	0.0308696832441887	0.0338865730207177	0.0340551125913824	0.0405322774143404	0.0245020334760038	0.0300891907676317	0.0390059150881692	0.0271546499649384	0.0385342367418322	0.0367557911286273	0.0314053641850242	0.0331262455985657	0.0311460661545534	0.0280509770672857	0.0346829871435075	0.0312826570964408	0.0319248887116485	0.0359541219190754	0.0309923907110665	0.0248785163841856	0.0208825031980926	0.0506163155136973	0.025305826489458	0.0352175436257409	0.0238431062212878	0.0289922444944579	0.0416592597605353	0.035698893665758	0.0314357274231731	0.0389971349425361	0.036941172024292	0.0318469557332234	0.0321639984007476	0.033213405280227	0.0288199523443542	0.0329736205511434	0.04850373253374	0.0286394746973249	0.0305577695882238	0.0280592801756458	0.0292604988122622	0.0285198821595295	0.0350327811932456	0.0306441288569829	0.0335125018187856	0.0321621975239747	0.0324567560021498	0.0329123741191568	0.0300578781706522	0.0289227447611183	0.0289428338567314	0.0354581720938677	0.0335189433182576	0.0336571760649796	0.0319469650980634	0.0282163814795835	0.0496536219146537	0.0266580694616831	0.0254655215483773	0.0337674308994981	0.0263582217298132	0.204603737716492	0.033897683547949	0.0343276648282086	0.0334809072025957	0.0311325759184333	0.0365530893602582	0.0466332327541688
cg00210842		Body	0.0221343280907845	0.0250759085184131	0.0291677638168484	0.0276064955700861	0.0509367908347908	0.0256910834203331	0.0290622872689263	0.0228902924916715	0.0581773380117258	0.155846493664914	0.0291056033350746	0.0306694501075624	0.0219489959163248	0.0184246317483452	0.0306401187678476	0.0284769366786394	0.0274370697972599	0.0564321358719091	0.0129643784846801	0.0292167763387085	0.0226001904200108	0.0177370465084438	0.0246068432894163	0.0276443660858759	0.0224192026060821	0.0196152069681036	0.0348683316110213	0.038627139702774	0.138774679871426	0.0212331809359123	0.021178132747824	0.0231306616235755	0.0408001275820077	0.0236699986883071	0.0278080916114018	0.0196725626789098	0.0188408964539441	0.0224936177827411	0.01878831167923	0.101071439739401	0.0318882878663353	0.0257958052687158	0.0186036578308171	0.0258871629646883	0.0305711986059931	0.024398783917695	0.0232375821209511	0.133555082219697	0.0173073553007987	0.0242446895746089	0.0229709134236321	0.0241659751144039	0.0282823833836539	0.0192387369280513	0.0229168829048044	0.0217058826987088	0.0282386822279868	0.0221782537597328	0.0237037507946244	0.0272874347471669	0.0270706259011209	0.0189118662636281	0.0327852812615197	0.0261011346189857	0.033021419850194	0.032028939879712	0.022088109945403	0.0552011448160749	0.0180638743917973	0.0179977253138692	0.0297722757393078	0.0224624480492227	0.0235894547833128	0.0719578523536379	0.0247099873357831	0.0264390890142025	0.0238189802195886	0.0204541941185926	0.0373977039167187
cg00354258		TSS1500TSS200TSS1500	0.922178276745063	0.922422818809254	0.91468163228522	0.93021739291435	0.93154697073323	0.920532293383072	0.924751270271	0.640421659428438	0.918405579142707	0.908885093905826	0.954976597818108	0.941256501363693	0.922504492273116	0.923787172035575	0.931029153490257	0.916080032459359	0.899169631854655	0.946538423014311	0.900556614742952	0.915801329283947	0.948363534881068	0.898814745554162	0.921769555676704	0.935094203716475	0.905510166176694	0.933309055720409	0.941067364759192	0.935998481777463	0.915012420273794	0.921440997949811	0.929724211092877	0.928851354058441	0.905495702631117	0.920423579281445	0.939808876264051	0.926873482193341	0.937058759159968	0.930061094792766	0.951082636023903	0.937240169526592	0.918819447247813	0.936621619075294	0.884136174181078	0.948201429149508	0.911835848059138	0.936812385314646	0.915946644772842	0.930955136604925	0.879709770984863	0.924449867621585	0.891837509918708	0.872216227194259	0.93546461360921	0.95622227512656	0.946733144326163	0.9223173942384	0.940464864028499	0.90762939280447	0.952486590611486	0.872961303158949	0.894159319388411	0.878682763500127	0.929157281417368	0.918545284660273	0.930509695050848	0.940238402152664	0.923376044638053	0.922616473658512	0.856290731348627	0.914589813188918	0.927034212608481	0.870632223561702	0.875999526553373	0.917777609923951	0.853319673056381	0.898545157208363	0.930865662819886	0.91931968329068	0.917950402362094
cg00399483		Body	0.101504236490919	0.149769086861861	0.0938307155499618	0.19964010574932	0.0847773262292523	0.116280907718173	0.48355015510139	0.340417663497782	0.0750383934456267	0.0815643366841244	0.242707837876532	0.0935545246401941	0.171457362071199	0.147343841373227	0.126967869500596	0.09957247680866	0.13762493562778	0.126142344508602	0.178321092643541	0.138786513011645	0.131267768060288	0.155104316798728	0.621578140000722	0.132597979999178	0.12201102659408	0.50353725482028	0.121333881859187	0.17306440754225	0.100541647011759	0.128327597645157	0.0635104459209547	0.0986561909120784	0.0882719950078011	0.101716395758427	0.256124834836254	0.102027161825592	0.0885505048817955	0.125969499205357	0.0981034423798375	0.068828832176165	0.440066356067684	0.168520322645606	0.149313708604795	0.0894997973475846	0.0817514309415444	0.0746614720478712	0.169310788880738	0.103945048453166	0.240586723605427	0.103803471727516	0.0907930212906163	0.138941210748613	0.106100076787697	0.101670713625497	0.109980382553478	0.164897847263299	0.361473791295013	0.095045849866395	0.39271280545691	0.0829567922791519	0.104317715466301	0.110699285279792	0.130386292460868	0.18075613550785	0.158432715629692	0.107807128185917	0.212494565726409	0.147708893635806	0.101579347413816	0.0903369893899916	0.150578527841167	0.0971003844169051	0.13437590468542	0.112312436988749	0.165298953930461	0.109573074184677	0.109957787348086	0.446718499238122	0.0938850158730413
cg00418150		Body	0.757432934321193	0.226199513248325	0.627102001645927	0.828621053889713	0.8161572378038	0.309671382570309	0.744621870092094	0.610710538841534	0.769374294545595	0.651091238014512	0.719491917132923	0.734365001773173	0.726359173124469	0.705599341526457	0.773741763358111	0.716853820681641	0.713117713505545	0.570399351055762	0.658054154722448	0.743409833525342	0.848078523308913	0.278623405161256	0.259810134365208	0.648151696489984	0.700112674099846	0.776985886510432	0.815000344159207	0.584811446000119	0.75678906137493	0.766886057757006	0.771230445649257	0.752256448897962	0.841153364185608	0.752523199875572	0.627275648713359	0.719190294714672	0.820711528644302	0.808962721589115	0.755145890310526	0.797098701319799	0.84578112554907	0.817334903394204	0.526819150764044	0.72208884283561	0.25385593223174	0.802387752739887	0.760699603391621	0.714431414558	0.630576947534883	0.741753108342107	0.800459531706188	0.631987264542575	0.771128743041927	0.86983129512775	0.721429744073515	0.320269710994176	0.833228086512641	0.807494065253176	0.375772548085619	0.815092343546957	0.787742838704724	0.686582876658786	0.309845406442935	0.584854192203661	0.754940198027257	0.648948913129756	0.697604931379866	0.842667557474222	0.620029112617963	0.727478726586048	0.760311146938292	0.80890879162986	0.803034129806634	0.735836603733291	0.609313977244523	0.776847698762782	0.513678987683184	0.646838866058257	0.715199858733677
