Hugo_Symbol	01CO001	01CO005	01CO006	01CO008	01CO013	01CO014	01CO015	01CO019	01CO022	05CO002	05CO003	05CO005	05CO006	05CO011	05CO014	05CO015	05CO020	05CO026	05CO028	05CO029	05CO032	05CO033	05CO034	05CO035	05CO037	05CO039	05CO041	05CO044	05CO045	05CO047	05CO048	05CO049	05CO050	05CO053	05CO054	05CO055	06CO001	06CO002	09CO005	09CO006	09CO008	09CO011	09CO013	09CO014	09CO015	09CO018	09CO019	09CO022	11CO005	11CO007	11CO008	11CO010	11CO018	11CO019	11CO020	11CO021	11CO022	11CO027	11CO030	11CO031	11CO032	11CO033	11CO036	11CO037	11CO039	11CO042	11CO043	11CO044	11CO045	11CO047	11CO048	11CO051	11CO052	11CO053	11CO054	11CO057	11CO058	11CO059	11CO060	11CO061	11CO062	11CO070	11CO072	11CO077	11CO079	14CO002	14CO003	14CO005	15CO001	15CO002	16CO002	16CO003	16CO006	16CO011	16CO012	20CO001	20CO003	20CO004	20CO007	21CO006	21CO007	22CO004	22CO006	24CO005	27CO004
hsa-let-7a-2-3p	0	0	0	0	0	0	0.3284	0	0	0.7256	1.0805	0.6786	0.8336	0.5833	0	0	0.2107	0	0.3276	0.5946	0.2115	1.3278	0.42	0.2901	0.49	0	0.7333	0.9677	0.7313	0.3533	0	0.3514	0	0	0	0.8869	0.8552	0.9924	0.3861	0.4772	0.1595	0	0	0	0	0	0.3347	0	0	0	0.9016	0.5397	0.756	0.6604	0	0.413	0.3308	0.3507	0.823	0.4622	0.2009	0.9685	1.2398	0.5821	0	1.3893	1.0971	0	0.1515	1.4107	0.3999	0.3231	0.7163	0	0.5469	0.8287	1.0199	0.9437	0	1.1256	0	0.6322	0	0.8333	0.2954	0	0	0.4809	0.733	0.2357	0.6753	0	0	0.2446	0.1732	0	0.5047	0.2094	0.2475	0.9128	0.1323	0	0	1.015	0.783
hsa-let-7a-3p	1.5076	2.5391	5.5648	5.8094	4.0979	3.2207	5.3631	4.9251	2.9585	3.0362	3.0545	5.7527	3.5789	3.814	4.1336	0	5.9632	4.591	5.463	3.3479	3.3144	2.8316	4.9126	4.9187	3.3265	5.7848	6.0579	3.8587	3.8169	2.0189	5.8194	4.4077	3.0021	2.2952	1.5275	4.5007	6.0924	4.7892	5.2217	5.5885	5.4172	5.2674	4.7399	3.6017	4.8215	4.7728	4.6098	4.551	5.6279	6.004	5.5532	5.4835	5.5608	5.8137	5.5452	4.2061	5.5189	1.5491	5.6746	5.2195	5.4957	5.5968	6.7543	5.3374	2.2698	4.646	5.4343	3.2656	5.2769	5.2496	4.938	3.7243	3.6149	4.3085	4.1179	3.8978	4.4234	4.1065	2.3045	4.1412	5.7626	1.5483	1.8415	1.4296	1.4552	4.0259	2.896	4.6345	4.1049	5.8032	5.7778	4.0028	4.3752	3.8825	5.1153	2.5128	2.2165	6.0827	4.7013	4.6445	5.164	4.4225	4.9782	4.3142	5.5859
hsa-let-7a-5p	16.2038	15.8423	15.9313	15.3905	15.9718	16.4558	15.1067	15.3851	12.4128	16.4459	16.0617	14.5447	16.2485	16.9735	15.7072	15.3923	14.9597	14.6717	15.9498	16.1682	15.9437	15.8986	15.53	15.3027	15.136	14.8383	14.4705	14.4039	15.4156	16.0686	15.2643	15.3662	14.535	16.2112	16.4984	15.6705	15.0519	15.5898	15.1654	15.5543	15.1367	14.9464	14.3745	16.2059	16.3428	16.4487	16.5232	15.6183	14.5639	14.0577	15.6756	14.1938	14.6608	15.8502	15.8364	15.4522	16.0351	16.1866	14.9959	15.1226	14.362	14.787	14.6094	14.5467	15.7924	15.1797	14.8547	14.8176	14.4427	15.7311	14.6612	15.8042	15.3971	15.4015	15.329	15.2934	15.1724	15.1965	16.486	15.3586	14.3132	15.8516	16.5758	16.7447	16.35	16.1471	15.682	14.8889	16.269	15.2597	15.0348	15.395	15.1233	16.0693	15.7523	15.7991	16.2788	15.5356	15.7309	14.8737	15.7833	15.8176	15.1656	15.4776	14.5148
hsa-let-7b-3p	6.579	6.0815	7.3109	6.6182	7.0727	6.8362	6.3734	6.3824	4.2487	7.1084	6.9104	6.4012	6.8747	6.9362	5.9051	6.845	7.2611	5.899	7.3151	7.8971	8.0984	8.1234	7.1196	6.6119	6.5967	5.7931	6.884	7.2082	6.499	7.092	6.9793	6.8628	5.6317	6.8957	7.1696	6.9351	6.5105	7.7152	6.9332	7.5049	6.837	6.6471	5.287	6.6777	6.5647	6.5848	7.3337	6.743	6.2159	5.6223	7.2391	5.6625	6.904	7.4992	7.3546	7.2494	7.1233	6.6545	6.2256	5.2792	5.3705	5.8516	6.4859	6.2323	5.6616	6.5485	6.9624	6.6917	6.5506	7.5312	6.6737	7.5493	6.7396	6.4166	6.7038	7.417	6.831	7.4717	7.3198	6.3059	5.8729	7.4574	6.9665	7.9165	7.3131	7.3981	6.7231	6.4892	8.547	6.7994	6.424	6.6528	6.3227	6.899	7.2864	8.8507	8.4523	6.6654	7.1768	6.4404	6.8365	6.8716	6.8226	6.5427	6.5113
hsa-let-7b-5p	13.5547	12.8276	13.4146	12.7932	13.2142	13.5234	12.3741	12.3082	9.9016	14.3072	13.9744	12.0779	13.5568	14.3133	13.0432	13.2064	12.447	11.9029	13.326	13.9231	14.2319	13.4586	13.141	12.51	12.4381	11.9257	11.5322	12.5806	12.6012	13.6943	12.6408	12.7447	11.8772	13.6007	13.8223	12.9842	12.5859	13.3333	12.531	13.0491	12.6046	12.069	11.4963	13.6016	13.4194	13.569	13.9958	13.0645	11.5364	11.3043	12.8627	11.353	12.0379	13.2333	13.2798	13.1176	13.2212	13.321	12.0515	12.2031	11.2354	11.8319	11.7482	11.6933	12.6172	12.6288	12.4867	12.2231	11.612	12.9576	11.8871	12.8845	12.481	12.3757	12.5605	12.893	12.3077	12.6319	14.1101	12.2623	11.3758	13.4275	13.9297	14.4091	13.8109	13.4989	12.8215	11.9449	13.8627	12.4781	12.7124	12.7247	12.3968	13.1457	12.9829	14.0222	13.8688	12.8681	12.9103	11.8619	13.117	12.8787	12.305	12.9527	11.7336
hsa-let-7c-3p	0	0	1.0681	0	0.115	0	0.1735	0.3265	0	0.2843	0	0.4858	0.955	0.2217	0.3389	0	2.0513	0.2998	0	0.4223	0.396	1.5729	1.2337	0.9189	0	0	0	0	0.9929	0	1.2378	0.3514	0	0	0	0.711	0.6223	1.5748	0.9415	1.1853	1.1927	0.8188	0	0.3049	0.7567	0.3072	0	0.3737	1.1364	0.5777	1.1476	0.9315	0.5625	0.6604	1.2672	0.413	0.3308	0	1.8334	1.3281	0.9232	0.2526	1.6407	1.8012	0	1.9389	1.5061	0.692	1.2864	1.0744	1.5443	0.8099	0.7163	0.2693	0.5469	1.1138	1.3035	1.6971	0	0.9157	0.8585	0.6322	0	0.6657	0.7499	0	0	1.4405	0.6485	1.0459	0.6753	0.9674	0.5633	1.5099	0.3278	0.3721	0.7033	0.5544	0.6429	0.7708	0.4689	0	1.4495	1.6987	1.0848
hsa-let-7c-5p	9.343	7.9251	11.0963	7.2419	8.9958	8.7106	9.0474	9.8012	4.2507	12.1611	9.9865	8.8931	10.6607	10.9079	9.0065	9.6274	10.044	8.3475	8.0134	10.0535	10.6501	12.2119	11.4297	11.021	9.6428	6.3709	6.8518	7.0635	11.0486	11.2233	9.6459	8.6882	7.3328	10.1458	9.1142	11.1771	9.7347	11.038	10.4187	9.9811	10.6139	9.0523	8.3108	11.6046	10.6754	10.8067	11.0102	8.7495	9.944	7.7559	10.9408	9.1842	9.0289	10.1354	10.3299	10.4753	10.3792	11.5431	10.3551	9.5003	8.9351	9.0702	9.193	10.5145	10.3322	10.8047	10.3015	9.6792	10.0204	10.7495	10.6637	10.6373	10.3832	9.8226	8.4333	9.713	10.8688	11.502	10.3545	9.8684	9.522	11.3352	11.2918	12.949	11.7655	9.1205	7.3765	10.1862	10.7484	10.2524	9.7503	10.8829	10.0798	11.9535	9.6679	11.7244	12.2858	10.1039	9.7149	10.2883	10.4197	8.6103	10.8494	11.8809	9.2497
hsa-let-7d-3p	9.3126	7.8618	9.3081	8.3384	9.6399	7.0497	8.2313	7.6522	5.6424	9.0815	9.1403	7.0238	9.1195	8.4511	8.6191	9.1196	9.7988	8.3386	8.9505	9.2283	9.5276	10.0053	8.2046	8.3073	8.0149	7.2939	8.5961	8.63	7.3953	8.5686	8.2222	8.8687	7.4808	8.4785	8.2403	8.4261	8.0564	9.1829	8.4094	8.9255	9.116	8.0404	7.3058	8.1275	7.9773	7.7356	8.3117	7.7153	7.5002	6.9784	8.2326	7.0293	8.2654	8.539	8.1028	9.0517	9.3367	7.9677	8.1671	6.4819	7.2109	6.9889	8.0853	7.7897	8.1282	8.0174	8.4319	7.9833	7.8583	8.6604	7.8537	8.7033	7.8983	8.1055	8.4594	8.563	8.0458	8.5112	9.406	7.5135	7.013	8.9114	9.311	9.379	9.4217	8.7667	8.5249	7.8962	9.3865	8.94	7.8867	8.1917	8.512	8.3672	8.2605	10.2452	9.6606	8.2518	8.5396	7.7278	8.5069	8.7868	8.1006	8.1896	7.7592
hsa-let-7d-5p	11.8	11.2404	11.207	10.6022	11.7838	11.166	10.6687	10.8483	8.2307	11.7696	11.8524	9.8819	12.057	12.5105	11.7185	10.8435	10.9798	10.7033	11.6553	11.6116	11.6723	11.8067	10.6348	10.8162	10.6586	10.3323	10.7228	10.454	10.6471	11.3575	11.0252	11.0907	10.3781	11.7126	11.5743	11.4331	10.5558	11.0503	10.4366	11.4286	11.2455	10.4111	10.02	11.4075	11.6605	11.9516	11.6523	10.6902	10.2609	10.223	11.283	9.9571	10.6583	10.9313	10.8592	11.1597	12.1331	11.4963	10.7831	10.685	10.382	10.0058	10.7664	9.8113	11.6147	10.4257	10.6439	10.2879	10.2846	11.0442	10.3402	11.2183	11.0215	11.0662	10.9635	10.6666	10.5854	10.7836	11.9318	10.8246	9.6738	11.1119	12.0368	11.9972	11.8604	11.4843	11.3131	10.67	11.5358	11.5048	10.8609	10.6352	11.1117	11.336	11.2907	11.2718	11.7652	11.0311	11.0538	10.2492	11.3658	11.3114	10.5391	11.3861	10.2518
hsa-let-7e-3p	2.1104	1.7681	3.5133	1.8785	2.7495	1.7932	2.2734	2.4782	0.3872	4.0605	3.4638	2.5862	3.5211	2.8944	2.1515	3.0277	4.8016	1.7268	2.9313	3.8849	3.942	4.6332	3.7553	2.9824	2.0119	2.2461	3.0736	3.1119	2.8622	2.5838	3.7253	2.9555	2.417	2.3113	1.8835	2.9225	3.3838	5.1144	3.3835	3.7701	2.8932	2.9299	1.747	3.0109	2.6523	2.5224	3.4494	2.108	3.4837	2.0424	4.1851	2.7378	3.3532	3.0456	2.5666	4.29	3.684	3.2526	3.4592	2.0739	2.8023	2.7115	3.0465	3.1217	3.0242	3.552	3.8043	1.5092	3.7678	3.5584	3.8655	3.2532	3.0967	2.8394	2.6816	3.0658	3.2942	3.6563	2.5055	3.2804	2.844	2.8174	3.1295	4.3117	3.926	2.8415	2.0332	3.6098	3.9159	3.5197	3.5006	2.9779	3.1635	3.248	3.0702	5.1224	4.5745	2.3832	2.9518	3.0424	2.6288	2.8698	3.2999	3.6123	3.562
hsa-let-7e-5p	10.4488	9.9573	11.0886	9.1421	10.5879	11.136	9.9909	10.6947	6.4172	12.5921	11.3526	9.376	11.6857	12.2218	11.011	10.4321	10.61	9.4191	10.2289	11.0432	11.08	11.4684	11.4617	10.855	10.2202	10.1009	9.7092	9.9101	10.5429	11.0153	10.5861	10.244	9.8256	10.7003	10.6274	10.84	10.3881	12.1116	10.3425	10.7596	10.0506	10.5567	9.1831	11.6045	11.2968	11.5295	11.7401	10.2847	9.9312	9.4772	11.2136	9.4676	9.7498	10.7615	10.4982	11.4574	11.1181	11.8691	10.4724	10.2339	9.6685	10.0958	9.7429	9.8836	10.758	10.8898	10.0639	9.5953	10.196	11.0992	10.3266	10.7863	10.7781	10.5876	10.0506	10.9991	10.8269	10.806	11.2851	10.6923	9.5124	11.0357	11.5752	12.6004	12.3594	10.3203	10.2169	10.2185	11.2299	10.7224	10.605	11.0411	10.6079	11.4914	10.7855	11.544	11.8297	9.5319	10.5346	10.4315	10.6143	10.6478	10.7388	10.8394	9.9184
