ID	chrom	loc.start	loc.end	num.mark	seg.mean
MDA-PCa-153-7		2700001	5159001	1899	1.2392
MDA-PCa-153-7		5160001	5163001	4	0.1752
MDA-PCa-153-7		5166001	58503001	42405	1.2411
MDA-PCa-153-7		58515001	58519001	5	4.3338
MDA-PCa-153-7		58521001	58534001	3	2.3566
MDA-PCa-153-7		58547001	63499001	1184	1.1889
MDA-PCa-153-7		63509001	66058001	1840	0.2132
MDA-PCa-153-7		67046001	67581001	271	1.7879
MDA-PCa-153-7		67582001	76992001	6440	0.2456
MDA-PCa-153-7		76993001	76995001	3	-0.5993
MDA-PCa-153-7		76996001	78921001	1511	0.2134
MDA-PCa-153-7		78922001	78925001	4	-0.5961
MDA-PCa-153-7		78926001	154790001	57973	0.2253
MDA-PCa-153-7		154791001	154796001	6	-0.7927
MDA-PCa-153-7		154804001	154928001	100	0.2089
MDA-PCa-153-7		2650001	9928001	2333	0.4886
MDA-PCa-153-7		9955001	9996001	21	-0.0608
MDA-PCa-153-7		10003001	13642001	44	0.5488
MDA-PCa-153-7		13647001	13848001	18	1.3888
MDA-PCa-153-7		13987001	28783001	6191	0.4741
MDA-PCa-155-2		2700001	6011001	2678	-2.3711
MDA-PCa-155-2		6012001	13521001	6356	-0.4794
MDA-PCa-155-2		13522001	13862001	284	0.5252
MDA-PCa-155-2		13863001	16652001	2311	-0.495
MDA-PCa-155-2		16653001	16896001	173	0.5468
MDA-PCa-155-2		16898001	57438001	31709	-0.4948
MDA-PCa-155-2		57444001	58469001	785	0.5277
MDA-PCa-155-2		58470001	58503001	22	1.2793
MDA-PCa-155-2		58515001	58518001	4	5.4311
MDA-PCa-155-2		58519001	58522001	3	3.024
MDA-PCa-155-2		58534001	61903001	86	1.2787
MDA-PCa-155-2		61904001	78921001	12079	0.4595
MDA-PCa-155-2		78922001	78925001	4	-0.3374
MDA-PCa-155-2		78926001	83513001	3688	0.43
MDA-PCa-155-2		83514001	83595001	71	-0.5939
MDA-PCa-155-2		83596001	106533001	15924	0.4653
MDA-PCa-155-2		106535001	106537001	3	-0.2647
MDA-PCa-155-2		106538001	116074001	7735	0.4633
MDA-PCa-155-2		116081001	116097001	16	1.3561
MDA-PCa-155-2		116105001	127767001	9414	0.5021
MDA-PCa-155-2		127768001	128242001	376	-0.5205
MDA-PCa-155-2		128243001	154928001	20841	0.4773
MDA-PCa-155-2		2650001	9908001	2325	0.0215
MDA-PCa-155-2		9911001	9922001	7	0.9207
MDA-PCa-155-2		9926001	9965001	7	0.0153
MDA-PCa-155-2		9966001	9978001	5	-0.5724
MDA-PCa-155-2		9979001	10009001	20	0.0347
MDA-PCa-155-2		10010001	13136001	27	0.8476
MDA-PCa-155-2		13198001	13642001	24	0.0109
MDA-PCa-155-2		13643001	13863001	34	1.6621
MDA-PCa-155-2		13987001	28783001	6191	0.0721
MDA-PCa-117-9		2700001	5159001	1901	-0.0311
MDA-PCa-117-9		5160001	5163001	4	-1.0047
MDA-PCa-117-9		5166001	23868001	15740	-0.0208
MDA-PCa-117-9		23870001	29522001	4709	0.9681
MDA-PCa-117-9		29523001	29525001	3	1.5377
MDA-PCa-117-9		29526001	29658001	114	1.0027
MDA-PCa-117-9		29659001	32352001	2323	-0.0462
MDA-PCa-117-9		32353001	32509001	146	0.9674
MDA-PCa-117-9		32511001	57068001	18318	-0.0382
MDA-PCa-117-9		57069001	58464001	1034	0.981
MDA-PCa-117-9		58465001	58503001	28	1.4555
MDA-PCa-117-9		58515001	58522001	7	4.6547
MDA-PCa-117-9		58534001	61895001	89	1.3265
MDA-PCa-117-9		61896001	61916001	19	0.6688
MDA-PCa-117-9		61917001	64807001	2024	-0.0249
MDA-PCa-117-9		64808001	66108001	971	0.9724
MDA-PCa-117-9		66109001	66452001	247	1.5485
MDA-PCa-117-9		66453001	67708001	973	0.9783
MDA-PCa-117-9		67709001	68275001	474	1.5853
MDA-PCa-117-9		68279001	70713001	1808	0.9731
MDA-PCa-117-9		70723001	77119001	4132	-0.0393
MDA-PCa-117-9		77121001	77123001	3	1.3065
MDA-PCa-117-9		77124001	92796001	10143	-0.0478
MDA-PCa-117-9		92797001	92800001	4	-1.0706
MDA-PCa-117-9		92801001	129280001	29359	-0.0304
