Composite Element REF	Hugo_Symbol	Group	TCGA-3H-AB3K-01	TCGA-3H-AB3L-01	TCGA-3H-AB3M-01	TCGA-3H-AB3O-01	TCGA-3H-AB3S-01	TCGA-3H-AB3T-01	TCGA-3H-AB3U-01	TCGA-3H-AB3X-01	TCGA-3U-A98D-01	TCGA-3U-A98E-01	TCGA-3U-A98F-01	TCGA-3U-A98G-01	TCGA-3U-A98H-01	TCGA-3U-A98I-01	TCGA-3U-A98J-01	TCGA-LK-A4NW-01	TCGA-LK-A4NY-01	TCGA-LK-A4NZ-01	TCGA-LK-A4O0-01	TCGA-LK-A4O2-01	TCGA-LK-A4O4-01	TCGA-LK-A4O5-01	TCGA-LK-A4O6-01	TCGA-LK-A4O7-01	TCGA-MQ-A4KX-01	TCGA-MQ-A4LC-01	TCGA-MQ-A4LI-01	TCGA-MQ-A4LJ-01	TCGA-MQ-A4LM-01	TCGA-MQ-A4LP-01	TCGA-MQ-A4LV-01	TCGA-MQ-A6BL-01	TCGA-MQ-A6BN-01	TCGA-MQ-A6BQ-01	TCGA-MQ-A6BR-01	TCGA-MQ-A6BS-01	TCGA-NQ-A57I-01	TCGA-NQ-A638-01	TCGA-SC-A6LM-01	TCGA-SC-A6LN-01	TCGA-SC-A6LP-01	TCGA-SC-A6LQ-01	TCGA-SC-A6LR-01	TCGA-SC-AA5Z-01	TCGA-SH-A7BC-01	TCGA-SH-A7BD-01	TCGA-SH-A7BH-01	TCGA-SH-A9CT-01	TCGA-SH-A9CU-01	TCGA-TS-A7OU-01	TCGA-TS-A7OY-01	TCGA-TS-A7OZ-01	TCGA-TS-A7P0-01	TCGA-TS-A7P1-01	TCGA-TS-A7P3-01	TCGA-TS-A7P6-01	TCGA-TS-A7P7-01	TCGA-TS-A7P8-01	TCGA-TS-A7PB-01	TCGA-TS-A8AF-01	TCGA-TS-A8AI-01	TCGA-TS-A8AS-01	TCGA-TS-A8AV-01	TCGA-TS-A8AY-01	TCGA-UD-AABY-01	TCGA-UD-AABZ-01	TCGA-UD-AAC1-01	TCGA-UD-AAC4-01	TCGA-UD-AAC5-01	TCGA-UD-AAC6-01	TCGA-UD-AAC7-01	TCGA-UT-A88C-01	TCGA-UT-A88D-01	TCGA-UT-A88E-01	TCGA-UT-A88G-01	TCGA-UT-A97Y-01	TCGA-XT-AASU-01	TCGA-YS-A95B-01	TCGA-YS-A95C-01	TCGA-YS-AA4M-01	TCGA-ZN-A9VO-01	TCGA-ZN-A9VP-01	TCGA-ZN-A9VQ-01	TCGA-ZN-A9VS-01	TCGA-ZN-A9VU-01	TCGA-ZN-A9VV-01	TCGA-ZN-A9VW-01
cg00013618		BodyBody	0.847150185205351	0.674332656019226	0.911659467900364	0.741432681482509	0.915214176157875	0.840529359258927	0.901166010113976	0.851035849880881	0.883895026370312	0.902097913615825	0.909904476618014	0.840981722386659	0.852793855727484	0.669763384761001	0.87253927408647	0.859133799696792	0.865855179284439	0.871912971636737	0.906225387626347	0.914602273472351	0.871286711710676	0.893192836801336	0.882770345526054	0.930602591264974	0.877615389110082	0.901659762152995	0.922551114713542	0.628562772464266	0.905938432268296	0.535253410057942	0.857689645471677	0.658768374954444	0.94008624526385	0.915174881813186	0.410719138163293	0.92104817013252	0.66943900434452	0.916833378995333	0.921458491368022	0.871339710042758	0.771387723824139	0.885224685897725	0.917120229057564	0.838214521663335	0.887463793286012	0.915202095469281	0.271353114199352	0.904460848075364	0.930954950706744	0.919620790798318	0.817168616656551	0.831554088150594	0.848280272481125	0.851181190401285	0.925819562849931	0.880992411132457	0.930360324108081	0.54282534500054	0.913575874074225	0.850209173098762	0.846617330912251	0.749983651662643	0.806376815886864	0.913939316870941	0.901982139928522	0.89696672889038	0.352098674877592	0.918267786738626	0.91161072147192	0.922163116215559	0.829901425865606	0.907828480410893	0.841745713818472	0.907069429577073	0.935771119646387	0.817642716385538	0.866859025066327	0.929905012217359	0.88214195665289	0.819636662145281	0.891168086148285	0.382886052272164	0.728957568405593	0.926766546871036	0.904804196235751	0.871626292180434	0.899956870851853
cg00059930		NA	0.659498168919076	0.63319755382205	0.771413481379802	0.45271718102581	0.771502371397672	0.603464859286782	0.715026170958871	0.706114326145181	0.701680665453647	0.581473134246671	0.776638804063402	0.51184827354821	0.500524376039055	0.62481373586681	0.43947380082567	0.619798413445514	0.615444405474879	0.684781359730597	0.638273812872738	0.375925958487311	0.566544001412469	0.669525339525892	0.642300944724525	0.748641736895691	0.57562580878392	0.404666658326449	0.689587578924021	0.518477584942234	0.568177488626975	0.736002636636001	0.613516401536272	0.567230586885313	0.684815606384087	0.489110814259949	0.706225317104636	0.731260696360409	0.726388341834673	0.722955994894901	0.658499615778628	0.659421309290269	0.641426270605574	0.596772459882089	0.512693454769402	0.498494774522405	0.505949023682626	0.810058143373303	0.263993813034766	0.617868171656224	0.533986914761883	0.703519200955341	0.536116659757094	0.58656324874939	0.682409647199751	0.762637462839307	0.574510622836404	0.603348269697631	0.634475502728814	0.47157274303693	0.655354299269311	0.536069973354995	0.644264849428439	0.506945997691699	0.550749616250345	0.649963128996203	0.69258249178257	0.571997982960434	0.711557855274786	0.644796626038518	0.704664009266536	0.624482030582397	0.623245418727972	0.580024040399917	0.61421741081922	0.73586915774634	0.637505448327656	0.64136022092807	0.589292471791771	0.430540002923397	0.528565189384881	0.504670333360547	0.422673609473293	0.701511688296687	0.749376555758862	0.421679024115818	0.581871178110494	0.755192953047288	0.616043140606096
cg00061629		NA	0.736263471365866	0.429122172050553	0.9013400522904	0.347916386286236	0.920844270654405	0.795706039791596	0.931227043924866	0.342464582474649	0.871173214285626	0.619748904169999	0.899220648379742	0.360861195236626	0.476125519127271	0.536221555001392	0.498621197307967	0.845132499521946	0.587523875127424	0.854798766061205	0.625308046341858	0.810695681272821	0.314444232633568	0.737877734790228	0.672778899730415	0.913750668690939	0.565763663222982	0.201033025876613	0.672112290838433	0.560048148523956	0.840313392322152	0.904205590848701	0.885237098035245	0.815253956570507	0.827772418875242	0.308108582313932	0.230064363097263	0.918089272698504	0.263856968384445	0.596836391016072	0.900842784337771	0.888623256783565	0.504488063650314	0.733374664016641	0.775498116476702	0.415935058196314	0.861841685565426	0.911188182330591	0.922713126907278	0.890630594785443	0.784134176459005	0.744906312616077	0.282540889147456	0.810018136392825	0.811281037188759	0.884693641950481	0.816419744797537	0.881677494650053	0.814111568714251	0.57346439786463	0.896580062795928	0.847628126691917	0.888695163475658	0.789309083178319	0.354631232299458	0.685223173471664	0.863932612869992	0.666525564647433	0.0774943408877112	0.855974318013423	0.60572849116087	0.662793326104305	0.372891359284539	0.819982594339782	0.408208249644185	0.867160296933756	0.924131676405539	0.83493752476975	0.798175270646685	0.773340591601788	0.524091476840203	0.547577690863607	0.911089829653409	0.18104986953978	0.879475096314167	0.903225852296278	0.190156879005956	0.836873439910244	0.866987566954314
cg00090147		Body	0.100451502918368	0.15650104193791	0.0907011113857879	0.137419019196272	0.101656007460156	0.138977660852411	0.0909731361711802	0.142013655524166	0.158419746798282	0.112201566823306	0.0872239219163478	0.13410688974681	0.145971434992797	0.0811942748836473	0.134436212160082	0.104498559213626	0.0909523581082403	0.190912672156814	0.146745308452195	0.123149087355567	0.150685053356063	0.148749050152231	0.130006788949036	0.0962942208458785	0.13921527949156	0.141384065710898	0.104005848308148	0.100662321948592	0.133452373128892	0.0781800020252907	0.132971959222078	0.123884485810267	0.0972642040680142	0.110644322342155	0.0908177592161009	0.0836978543820877	0.279532741051725	0.105572143298496	0.131795079746825	0.115454596657874	0.109754378322742	0.138164937410368	0.103706173009724	0.13528929013094	0.127553747233015	0.0968485292727054	0.0892603276745455	0.103208254675779	0.0841502888465985	0.112331341873011	0.126835243729159	0.0779738561440209	0.116900209552635	0.0942020649318667	0.0976622487484705	0.162843541691572	0.0895534672880331	0.146082982202343	0.109013207898593	0.115631929612403	0.116367190019518	0.120464856065994	0.107563851824688	0.0936094338722618	0.19738271141456	0.109410579605555	0.0835729707555826	0.10423546625075	0.0792397117442158	0.080853404725501	0.08082559331533	0.130355567456239	0.142212467105926	0.103612903730688	0.100330040789444	0.174016486069485	0.293478663463344	0.0753429851917478	0.123951678242841	0.158303995174812	0.132020100521332	0.0863227784966233	0.0877625656341416	0.0872884254376644	0.178883631941677	0.0809563135581876	0.113807973481075
cg00117172		NA	0.399632123268747	0.586152282955891	0.209249242891382	0.0367677914177275	0.311453215840862	0.154395808086776	0.51510943402074	0.0324357038985239	0.73887776024169	0.128262362512548	0.842887288693021	0.0562982666055203	0.117328734951893	0.442363410213195	0.331356742526913	0.551689932658006	0.187620241180594	0.511558536972126	0.0864396719050556	0.0644508371064839	0.126126158473775	0.481995896524453	0.0725564519123711	0.684729765862974	0.394414036640605	0.191742144989884	0.621628969118904	0.167903725236921	0.17264104517221	0.0355167517547512	0.627186107103051	0.365591962666541	0.563157144925919	0.0722338915969368	0.0537604669727163	0.481553842556365	0.66518450185961	0.296275857487638	0.0623183519651192	0.504228018479919	0.0274749187283267	0.306678034542794	0.125832555416477	0.0439599699365204	0.268372818092715	0.538796149729759	0.0406333144272349	0.478203131257057	0.691927611616141	0.211540578391407	0.375537784156989	0.364400757715323	0.0624888743927285	0.791309510962848	0.389597549707071	0.487320905853207	0.625156741940362	0.0952987120278351	0.421554280666396	0.136501180050273	0.416731552750208	0.0974682846279352	0.0328631747007063	0.187218677887696	0.1557486253016	0.567734943059581	0.0421890413684896	0.432846665884151	0.767803602892342	0.393565039229542	0.166426785896413	0.0770279080109808	0.183542059182794	0.720862941293212	0.0354445827263492	0.127159695572293	0.349322422891621	0.649157184145514	0.0950316477936216	0.204071959863643	0.339120551482875	0.0257115711409972	0.274338458291541	0.129535865941781	0.298956490578967	0.403659857763917	0.394286405394165
cg00129774		NA	0.0294881492441947	0.0310301826374169	0.0342048099103443	0.0294741143900771	0.0306728346909538	0.0296248423205088	0.0362005197492358	0.027608855900018	0.0294580055270736	0.0303893133395763	0.0395712828448416	0.0466510339749869	0.0356711304436853	0.0342229000827388	0.0282860394913976	0.0311776387220793	0.0389475530605999	0.0458058494209561	0.0424368366567192	0.0383174401927111	0.037338756132582	0.0283229434633341	0.0421516501035267	0.0407855568594599	0.0331753220683968	0.0298145092836692	0.0360739712589769	0.0376431439691541	0.0409627957699789	0.0327025246347036	0.0380115104674566	0.0419102720384271	0.0342202883851299	0.038545018141014	0.0356403992751039	0.035738780771694	0.0436962072954262	0.0381599851001052	0.0396243589993467	0.043108461095554	0.0352249070699567	0.0357055164206129	0.0404394701127457	0.028842388600424	0.0266534178719671	0.0317339007990737	0.0450156978600681	0.0306231704633348	0.034713030364447	0.0323973395098702	0.0265578178055795	0.0308260680517189	0.0271012173580295	0.0262786168297977	0.0376753800972304	0.0266224158375385	0.0331359637504695	0.0400554243767208	0.0378940567581782	0.0282636954565519	0.0265240702125881	0.0320927446964847	0.0373304403779908	0.0276048749125028	0.0285004853593824	0.0295816551944528	0.0267204519417787	0.0315804979924359	0.0343448324550909	0.0261722662673335	0.0306089437284521	0.0388082589690843	0.0342215701510659	0.0384632803877832	0.0346877242774444	0.036064547085409	0.0361851641237805	0.0279564838213905	0.0364650616546891	0.0450665529321637	0.0272124629844836	0.0327810698111731	0.0314851960776089	0.0309685321574904	0.0316092704381815	0.0337999293637289	0.0308599520068734
cg00210842		Body	0.0209247414224739	0.0223985583330377	0.0272861115651101	0.0234151754129666	0.0214868396383194	0.0216678408063075	0.0295006263164416	0.018522570995055	0.0244860175260336	0.0256352803501348	0.0292133231322147	0.0307625706074125	0.0272583050969798	0.0306586723863629	0.0215309274513491	0.0243468468935565	0.023054212531962	0.020365901030264	0.0190959766691921	0.0301192545435744	0.0221288896454568	0.0248990417695632	0.0272746020388676	0.0172309527312808	0.0143988792823632	0.0273636331317661	0.0264191910089594	0.0168130864966733	0.0232334094699351	0.016243054504686	0.0226774063594067	0.0226917629254825	0.0247085145330385	0.0256616726274505	0.0197736675521766	0.0230032366505975	0.0236202692879172	0.0187998425136714	0.0209744203161288	0.0228690080471204	0.0247236646058274	0.0219008932398777	0.0264316049419908	0.0297649184408273	0.0241116710868162	0.0276314137364286	0.0312548682678638	0.0195664729465702	0.0226536633389086	0.0197438589632103	0.0197267762650436	0.0308988897464718	0.0273029284962202	0.021969872678685	0.0219761314839133	0.0195730735660359	0.0216386103880238	0.026561872693601	0.0184304871907568	0.0247081138141817	0.0232126351734712	0.0194339386517625	0.0272503700142574	0.021062323003928	0.0272311010803999	0.0267216421586872	0.0246816194407869	0.023985766398119	0.0248921134002887	0.0191941531876867	0.0204221871122419	0.0343942037083413	0.0252289490564655	0.0303779475074291	0.027453365392673	0.0245602368124687	0.0262458880284361	0.0234910990403711	0.0301664087204476	0.0220110034634917	0.0199762833333581	0.0262024224378339	0.030884628681787	0.0234845579585741	0.0210873890957881	0.02522072664388	0.0185786891500377
cg00354258		TSS1500TSS200TSS1500	0.891768975697619	0.543440149866007	0.832959768027362	0.857260094182548	0.909988196969396	0.849751951106407	0.92183176949447	0.934277922361381	0.822529963552735	0.924086849228934	0.911529030534978	0.884163988821867	0.751364302044005	0.808318008573016	0.88411087005819	0.691026598448663	0.895686164246294	0.88390390337155	0.764539583436723	0.847537799929491	0.863049214066676	0.79299465577604	0.913457233191307	0.924874216424342	0.903931703453231	0.885344152267223	0.858341592157467	0.904987951737041	0.880731055469373	0.855131887241951	0.879912592221508	0.890463465151085	0.807151541568059	0.9406028258732	0.895413236476694	0.916177091812485	0.883519681874815	0.87805350792968	0.865973295035997	0.886500055855127	0.844533202299088	0.7690044404419	0.912195142734313	0.876942405927027	0.7555583260147	0.897070613267393	0.80123734257994	0.920796426552659	0.902572233480837	0.849627043485745	0.907194887617921	0.843804838516669	0.879172127024182	0.804055246862517	0.906792145577132	0.856382086968536	0.906473047659022	0.88784683020349	0.889652483101311	0.833656625185506	0.861871513804696	0.870666494205364	0.851826730775672	0.904999789597529	0.886811406070481	0.705411120387657	0.870114973529482	0.852845147937171	0.923636876886029	0.796295883637939	0.666921238108112	0.905164667583093	0.797886811013048	0.928058695012648	0.937801511448128	0.884471842669232	0.730204387630645	0.87670739344537	0.820662138642229	0.841600582650494	0.748003949775847	0.688592413388965	0.702386853654082	0.774839502429619	0.923354318371708	0.93098191331524	0.799710609618286
cg00399483		Body	0.130441842328077	0.174608776350268	0.318708939347433	0.235329038319533	0.506087993538703	0.413278114014264	0.135870406133848	0.113128866963138	0.350460731038152	0.542426289272736	0.149792284120146	0.201127104660603	0.355994256909067	0.0984838283923193	0.154844448433766	0.356191103176803	0.152586120095107	0.302288960404563	0.379163886819211	0.166503560043551	0.224145891932402	0.303554456733949	0.235897314109679	0.284878510058999	0.191893244519129	0.191547660743218	0.129762470229287	0.184162565643319	0.349323704952535	0.184453721260834	0.211664698613377	0.383766960490745	0.0998490334384648	0.165952528522285	0.178084040499213	0.248506087883234	0.679723449382963	0.202789568046342	0.60677339420481	0.143019776516249	0.346983207591786	0.289355610324785	0.166297386409908	0.167886799866073	0.31577278996809	0.110027540707076	0.194825513100851	0.137965578635714	0.0975430215352816	0.525586516580495	0.239340984591687	0.185354812853565	0.241380843392542	0.155312523253485	0.153016411490061	0.218017186127316	0.165211283546911	0.485002100047647	0.635544027520861	0.189646520305996	0.221059575397778	0.207685771484047	0.174810833963619	0.149315806013823	0.102654541391239	0.155162922952243	0.630768501808756	0.222864202512811	0.227568460261654	0.19415859925986	0.120094148882524	0.19289884015636	0.383160741203495	0.316625064755332	0.313905404839157	0.223461357673882	0.190098518656806	0.12716074737067	0.130801041891238	0.329599482935884	0.377504781928858	0.0865573296482656	0.0877947057144012	0.546975543886713	0.428446329631311	0.126978609842481	0.650218690509691
cg00418150		Body	0.639865447599821	0.591940802324457	0.550677781550518	0.368905085322013	0.609321347846652	0.551602536772948	0.616014199729251	0.424100116607843	0.387425190860947	0.734210127540744	0.792457188891851	0.456217162711842	0.498710720898157	0.41394803664641	0.499501592894828	0.561302071840825	0.49370569808411	0.472459004019802	0.551942313901762	0.489341685831773	0.472070304249675	0.359600376940606	0.456604314326081	0.691331365649606	0.544979201136766	0.452647324284118	0.625248753665462	0.671822619673624	0.447946480029477	0.633286291231124	0.361420826743088	0.469943976327629	0.460842065315394	0.637278174873084	0.604996715709084	0.662778596649544	0.652991464570795	0.231254501540569	0.423604452289722	0.42570522438505	0.545942770310175	0.446138997700874	0.643866985940474	0.451513959949858	0.521771736330912	0.726449040488086	0.267698686615621	0.65005290717068	0.221263121837569	0.460137801686643	0.388060338408306	0.350481502661332	0.32446404996547	0.706860423187444	0.626786971753063	0.498029853684554	0.778622692259311	0.253149295878149	0.567483764446891	0.281297903939054	0.566200108634913	0.41815300519821	0.460736699397898	0.615249198722215	0.706232024220761	0.503962650036585	0.645334665219553	0.53332276472761	0.676828004706901	0.531285098408178	0.548552776650208	0.488259591884161	0.459287533465018	0.729562082947423	0.16476514788441	0.576902238171259	0.538124592453788	0.696152997033301	0.59550939997083	0.407608459804931	0.516909716087533	0.214615604101527	0.586154724603372	0.550293605277617	0.624419813070649	0.658227075152077	0.583587684526228
