Composite Element REF	Hugo_Symbol	Group	TCGA-V4-A9F8-01	TCGA-V4-A9EQ-01	TCGA-V4-A9EE-01	TCGA-V3-A9ZY-01	TCGA-V4-A9EU-01	TCGA-YZ-A983-01	TCGA-WC-A87U-01	TCGA-V4-A9F7-01	TCGA-WC-A884-01	TCGA-VD-AA8O-01	TCGA-VD-A8KO-01	TCGA-V4-A9EJ-01	TCGA-VD-A8KK-01	TCGA-VD-A8KE-01	TCGA-VD-AA8T-01	TCGA-V4-A9ED-01	TCGA-V4-A9ET-01	TCGA-VD-A8KL-01	TCGA-V4-A9EX-01	TCGA-WC-A87T-01	TCGA-VD-AA8R-01	TCGA-VD-A8K9-01	TCGA-WC-A885-01	TCGA-V4-A9E9-01	TCGA-V4-A9EK-01	TCGA-V4-A9EO-01	TCGA-V4-A9F4-01	TCGA-WC-A88A-01	TCGA-WC-A882-01	TCGA-VD-A8KI-01	TCGA-V4-A9F0-01	TCGA-V4-A9EI-01	TCGA-VD-AA8M-01	TCGA-YZ-A982-01	TCGA-VD-A8KA-01	TCGA-V3-A9ZX-01	TCGA-VD-A8KM-01	TCGA-VD-AA8S-01	TCGA-YZ-A984-01	TCGA-YZ-A980-01	TCGA-RZ-AB0B-01	TCGA-WC-AA9A-01	TCGA-WC-A881-01	TCGA-V4-A9EF-01	TCGA-WC-A888-01	TCGA-V4-A9EZ-01	TCGA-VD-A8KD-01	TCGA-WC-A87Y-01	TCGA-VD-A8KH-01	TCGA-V4-A9EV-01	TCGA-V4-A9EM-01	TCGA-V4-A9F5-01	TCGA-V4-A9EA-01	TCGA-V4-A9EC-01	TCGA-VD-A8K7-01	TCGA-WC-A87W-01	TCGA-VD-AA8Q-01	TCGA-V4-A9ES-01	TCGA-YZ-A985-01	TCGA-V4-A9E8-01	TCGA-WC-AA9E-01	TCGA-V4-A9F1-01	TCGA-V4-A9EH-01	TCGA-V4-A9EW-01	TCGA-VD-A8KF-01	TCGA-VD-A8KB-01	TCGA-V4-A9EL-01	TCGA-VD-A8KJ-01	TCGA-VD-A8KG-01	TCGA-WC-A880-01	TCGA-VD-AA8N-01	TCGA-VD-A8KN-01	TCGA-V4-A9E7-01	TCGA-V4-A9F2-01	TCGA-VD-A8K8-01	TCGA-V4-A9F3-01	TCGA-V4-A9EY-01	TCGA-V4-A9E5-01	TCGA-WC-A883-01	TCGA-VD-AA8P-01
cg00013618		BodyBody	0.783707785321735	0.769883382130032	0.786519833523121	0.214556960103711	0.736649054498676	0.224994264270752	0.475098913958179	0.201910011746064	0.298554593194363	0.412032607913602	0.559807300119878	0.155715683616512	0.627391652887487	0.115031355588724	0.772702875326037	0.712378912622179	0.2079473663018	0.630646027271513	0.851864838481855	0.347885942372702	0.647639939670846	0.0924469790278934	0.140433248801321	0.337399278049944	0.21448825861408	0.673325376438665	0.543421746294261	0.763568266728347	0.756781703698004	0.8414197969639	0.797621224736357	0.765496137713621	0.453479042968062	0.300584378444405	0.285565537935641	0.751776265180252	0.665939529905743	0.237949700950818	0.746395981178166	0.829101552634995	0.751264425564924	0.871815682943582	0.248217190385813	0.623671125366292	0.653170712368556	0.584075803941559	0.749926917603433	0.69218886423597	0.851222773253908	0.656729210760329	0.129258896912096	0.934816831716691	0.425387564086381	0.592719943980326	0.667542122135727	0.478483435510914	0.400788880147796	0.761075576738017	0.644444894346771	0.343622640133062	0.301370875024819	0.833010606160271	0.466601914435193	0.549513360492567	0.84799662372248	0.556897953226726	0.863035510371395	0.70441569050162	0.167552443413237	0.113043166537309	0.784713126212133	0.745153987531985	0.914516919314023	0.201569572014522	0.79139127066014	0.754520497252329	0.279787907208547	0.0929434875540737	0.83906884028848	0.918069535765414
cg00059930		NA	0.830184705699893	0.87727831601992	0.77855753584626	0.865735997710801	0.828403385281457	0.90141278109701	0.79654664111175	0.834042315858158	0.77008824024888	0.868764557285816	0.855760179883344	0.83130736320563	0.836030912450932	0.884587940698289	0.857414240549455	0.837082693231999	0.861407025367004	0.849772392828854	0.820538219612844	0.838775930325516	0.853153941229203	0.848678184900531	0.888693050984494	0.851796868609698	0.82023774518774	0.907749642467602	0.847154004994342	0.834878363238215	0.811360771105209	0.815314579651185	0.837968973959095	0.769787418994744	0.853328046971721	0.84123512601293	0.855704154907766	0.753358099080949	0.572627650865431	0.808036632419825	0.842940443358104	0.726327409221486	0.819141740511198	0.868998659151124	0.847150472694658	0.844489272818351	0.727419199900209	0.822098835817958	0.755632018420104	0.665556697857914	0.817570114013982	0.739097052992888	0.820657496766332	0.89570934649573	0.896928471843706	0.840944633784015	0.887022961686027	0.849399812742671	0.816703687373366	0.886370168303541	0.862064731275839	0.812142682228658	0.817024246660908	0.722739003978357	0.82553967889904	0.880952186158299	0.826062122362614	0.860028656503258	0.776436312406969	0.851999386217529	0.847015606831474	0.806094729423532	0.801464900533359	0.808008836214134	0.834057573005491	0.857107802214352	0.787303496244853	0.710317590345841	0.855940454194239	0.754754114915039	0.82330437142282	0.856652037267606
cg00061629		NA	0.0648862233644071	0.524519238684727	0.816849975767246	0.396847894911487	0.588096109376226	0.703700927955572	0.289323457851917	0.928115475125394	0.703170662964716	0.09605210995379	0.413746311703411	0.830823992063441	0.175544329836998	0.76827637558604	0.0851228898762549	0.63441192320028	0.861075500447665	0.543512492826921	0.419722470587056	0.466778049416582	0.800443592832416	0.626640580418109	0.563733339938902	0.726498317081109	0.366751761556832	0.457390948519649	0.698895051247029	0.531041702972287	0.348830541905786	0.385092392191619	0.229218346291611	0.626631882438206	0.860643942885278	0.207277518898395	0.61356677131224	0.679532109126801	0.810354705883969	0.792156145301799	0.924421572399246	0.244720186691482	0.342012613639391	0.666231577215893	0.883148808384848	0.185062559006187	0.367496565890307	0.15092676736729	0.679548792026641	0.619782691275441	0.747226316906589	0.584459875212669	0.222861687827681	0.246816902471601	0.619429602744586	0.521159965510153	0.173437031376707	0.0705365149688665	0.504984036893829	0.125864381329223	0.682613600826165	0.842817959955456	0.93300120270418	0.58053246678394	0.34520714709296	0.208269704706971	0.138009580705138	0.360399904489215	0.302761989960968	0.772494074257812	0.696027014186253	0.726527713678025	0.686661840735075	0.474569089573319	0.608385900526139	0.231379918333666	0.213263103119615	0.548224140370387	0.831013993818096	0.359503285856272	0.715597949313056	0.114026184893865
cg00090147		Body	0.0895257732495696	0.107084750106565	0.10291184126906	0.0744461578538096	0.0902392823807445	0.0731428322117223	0.0975654864113001	0.0863996717114744	0.0998652393794665	0.0907206685449257	0.0839282836876616	0.0630810398414369	0.0892385134766064	0.103563551976797	0.109969614305922	0.0712229475603965	0.0855462834247734	0.0902020525048379	0.0873750163581253	0.0997447567268824	0.128426238541202	0.0943002168870689	0.0884200340049854	0.0945839901832218	0.0733035789236898	0.102901177975912	0.0910988813633925	0.0786335312502502	0.0863588821733885	0.0753563503716652	0.0855337898376857	0.0856328898997323	0.0988259341577628	0.0728985467701629	0.106989779144754	0.115461284384201	0.123921167017434	0.0818124352457421	0.0816952201778801	0.107268412584302	0.124846265505825	0.112276408371722	0.0744040984342044	0.0842326407225718	0.107986508888156	0.11455854171602	0.124138660597888	0.146708349529746	0.119291316306443	0.101952326390439	0.101216529488524	0.260910791071295	0.0970031039188737	0.0866339793782741	0.111881793326386	0.0952636267717089	0.0883572265120176	0.0937174406377307	0.0756433400326647	0.0699509050692936	0.0921578462794936	0.110748393559641	0.0926182552821518	0.0952223808110056	0.0750614798428327	0.0624765724939554	0.0931033953890866	0.0743723261738174	0.0941370237145983	0.0831716933462561	0.105427269745242	0.0861424478102203	0.174016240691215	0.100169660639782	0.100298127142586	0.111695859167997	0.103840909832745	0.0854505731601326	0.119498372107357	0.0980611440973201
cg00117172		NA	0.0293262251429006	0.0394917704693311	0.0336937933735544	0.0371763632920979	0.0399192970252247	0.0306800894260768	0.0246429477544889	0.0249843840960675	0.0397715205465947	0.0347150801403341	0.0330738259310981	0.0353941592758063	0.0250806648516091	0.0284625525416215	0.032447031676851	0.397428087029049	0.0957502408543666	0.0470175476522285	0.042307717458569	0.0462380451359702	0.0447928340710492	0.0491973780309487	0.024326105253975	0.0324376667066508	0.0252342161893809	0.0275103808466244	0.026477624881313	0.0292762722032063	0.0716546454639654	0.03123598065627	0.0369245423798094	0.0436701792740446	0.024560393326818	0.0966596474506172	0.0440573281727834	0.0400580871698644	0.0356121964147824	0.0423520168471418	0.0346462093713683	0.304362806864417	0.0291046252681735	0.0373492850881978	0.0387788039922644	0.0311105257609712	0.0345972189139233	0.135276059015555	0.0372465263513834	0.0276625729775926	0.0937797227775631	0.026891264620044	0.0249608037961462	0.0316824003479607	0.0642368279345974	0.896757886129683	0.0528979914801954	0.044356517247395	0.0316477010142302	0.0368370211885453	0.0278761923501405	0.0357813926776064	0.0361673156739836	0.0329501833004384	0.0286836641739905	0.0419672190926699	0.0284069910919656	0.463087984375928	0.0215955847359803	0.0565037086884847	0.0314539322954763	0.0297780662587492	0.0569951253529059	0.050062833026278	0.028847581437183	0.0312387763003124	0.0229873560825094	0.0745665022077294	0.317162801079817	0.0307715105615258	0.0349681973653769	0.0349924332976124
cg00129774		NA	0.0224663238578215	0.0254107817213788	0.0331829964433274	0.0242372631591916	0.0223222508797613	0.0249766081206859	0.0272235940484476	0.0274835880287121	0.0307045538026875	0.028692438468431	0.0256996000049131	0.0270375790951172	0.0263863656078461	0.0993189502225206	0.0271230313802014	0.0270337179739546	0.0240417974249959	0.0213253211452778	0.0256826522477111	0.0270471646445206	0.0246432324750015	0.0292484723917053	0.0299090375773463	0.0256650873647809	0.0369935089192298	0.0206842777443318	0.0235156950961828	0.0244215838619659	0.0253892420522929	0.0265335326894795	0.0285410525269983	0.0267175565715165	0.0235880353527817	0.0280773193802228	0.0289163509485836	0.0298556028742654	0.0286742422160135	0.0281244469676934	0.0304351736581702	0.0389340456465686	0.0242412597457137	0.0269155570470983	0.0295691232287326	0.0225994807066205	0.029458740770979	0.0299848810578092	0.0257988888639723	0.0232571562054607	0.0251913841779696	0.0252066877585929	0.0291826019689325	0.0312539069781725	0.0370780515747013	0.0304937096211329	0.0239763773505512	0.0237889570316776	0.0237715355571983	0.0258467590705763	0.0275757365033393	0.0258909084485618	0.0251445801009483	0.0298170379244992	0.0220359219760671	0.0252001458023823	0.0259877721188477	0.0268415731990015	0.0308679303550081	0.0329020781786921	0.0335890896121939	0.0288835477877503	0.0319134179097564	0.0228828998681511	0.0258641607672127	0.0274065417935531	0.028417815532321	0.0298871252495971	0.0231850437127436	0.0291434945494818	0.0301916300199353	0.0253283054066738
cg00210842		Body	0.020596299652611	0.0194388562451704	0.0256339859005003	0.0168952331771331	0.0271845493759919	0.0202098420064344	0.021642410095915	0.020773659782353	0.0253499480579843	0.0217399624177784	0.0216170092649624	0.0172755288615683	0.0175388885683306	0.0255461224982585	0.0235494849161003	0.021927401967252	0.0205067436287798	0.0194526276698835	0.018349924277154	0.0197340362887405	0.0212296802073391	0.0252707152631681	0.01941113992656	0.0162933196619916	0.0264597255836891	0.0177681162050826	0.0164692542817731	0.0197999549139367	0.0210339326597269	0.0185929691500178	0.0229790381869002	0.0213454579863134	0.0231101924522136	0.0207663901146475	0.0168011056197182	0.0233561950996434	0.0178676233456865	0.0199058172324967	0.0245564754512405	0.0213454267337783	0.023845686817027	0.0257006302168896	0.0206636089508243	0.022853568936994	0.0274497144670698	0.0302256897970489	0.0264113025313415	0.0229454159718856	0.0249997706538596	0.0196016917402614	0.0224102244776166	0.0175122629948883	0.0221812524184001	0.0230478557333129	0.0176199169280687	0.0176868707523619	0.0179939831656194	0.0228225051801931	0.0213932412403739	0.0222960928780411	0.0217127922302761	0.0248584495704306	0.0173374505599484	0.0189734952712399	0.0232737243568294	0.0213132355836395	0.0250005934127257	0.0248480002473806	0.0256640456547546	0.0192050652562923	0.0215681205794513	0.0215633726597032	0.0203953738496123	0.020399916334185	0.0221589003397505	0.0238078441112377	0.0208237002333968	0.0234524725545416	0.0196410763502779	0.0250294401426036
cg00354258		TSS1500TSS200TSS1500	0.932269156490465	0.852503237127593	0.860450383520297	0.905324265515614	0.573288674518851	0.928967756775275	0.459526885288122	0.930669696539519	0.909785768648251	0.909718731836676	0.843697321089049	0.899777513686603	0.924140658693942	0.923898301881477	0.932659335164599	0.929129524886709	0.900655826716498	0.940883460462687	0.871387315892689	0.91810050398732	0.919024076874422	0.795456950814029	0.909715189797389	0.907712503247947	0.893804125393584	0.9130917891579	0.916014719598582	0.8103273316968	0.900928737247933	0.885826577770989	0.89786300556292	0.881446061746806	0.898454480664172	0.833151426058472	0.677090267107262	0.668407732119971	0.817304313946142	0.894445228342205	0.906852749866922	0.92897655760036	0.559362639791799	0.919602472723673	0.911592573321377	0.891129001784392	0.900810475163356	0.898318808100346	0.850591434554524	0.521116618086362	0.912740426915178	0.902638159767617	0.938357992640577	0.909642114383131	0.877727237217758	0.909066648481153	0.879460841190745	0.903355104949855	0.926346858006933	0.456244134994152	0.900041357183048	0.923741497087524	0.903527392022757	0.905166784596934	0.917961860506519	0.90028770113575	0.88503479347586	0.897852895995785	0.86368201760008	0.9016882842026	0.864506032755705	0.90196374552975	0.895254926551944	0.886228975075602	0.909534912398375	0.904580895351111	0.936044996047823	0.825349260172769	0.903787445167878	0.883605354538254	0.524074922997913	0.909859891581298
cg00399483		Body	0.0734932383592708	0.0672741597661689	0.0904751751262464	0.066398769368648	0.0851764953957847	0.0823491116893626	0.105177991119997	0.0770342845659172	0.132684575999677	0.110837922904201	0.0780444466585028	0.095817188501936	0.0753332119689419	0.0927737372041103	0.0849854316986567	0.0701823883229312	0.0560478305397166	0.0603902558290443	0.0700705157352866	0.0557950498980601	0.102691872161335	0.0924081821586444	0.0755796153270216	0.115935777916118	0.0711567437167588	0.0624109704288982	0.0951913764557114	0.08039279779392	0.103230725127305	0.056917872630659	0.0780783495135966	0.106993933218467	0.0537289062745227	0.0984467012045291	0.0691005018010681	0.122694050943377	0.159587555317558	0.076508545820972	0.0495567613210868	0.0646773021637623	0.108377736757092	0.0589037798102555	0.0546525174876042	0.0699420514544542	0.176799705030645	0.0909486211651609	0.172835031096528	0.0994539883299963	0.112173293530132	0.115009291896129	0.0881457973577664	0.0818703016974761	0.106358469505789	0.070654151098854	0.0711631667888511	0.0501448174785209	0.0665292791881619	0.0799776056300886	0.0715397480160178	0.0800866438717061	0.0865366993624137	0.102598199922125	0.0759906468314414	0.0583018167092299	0.0709434167660624	0.0660785999076354	0.0703351838284013	0.0948143858287015	0.0860280438420933	0.0706474461271813	0.0773598103654441	0.0700025328330105	0.0549180410022173	0.078750596144806	0.125815828737363	0.141954294448128	0.0875609949124589	0.0687087723935257	0.102880235627701	0.0690703193484254
cg00418150		Body	0.647485739002281	0.757420243794065	0.680109399731451	0.811216078778005	0.806919271806148	0.846401433093173	0.775017103114571	0.808549769638067	0.687507970057616	0.512459916011281	0.838185716869396	0.745626608147131	0.71791445722258	0.802980861523806	0.800118680374078	0.775523977790735	0.384230828019522	0.727923222899487	0.788574254833373	0.808813320955451	0.757326641134241	0.78187970470054	0.677651080075024	0.833281634869487	0.492919766089576	0.781011236959626	0.764002360392776	0.77340533720977	0.740807315240632	0.786573772282103	0.803929968805201	0.772147352614288	0.81712566771712	0.544805816674312	0.807081340286522	0.6090917599487	0.569707085531327	0.761761689759685	0.788192370545403	0.703266731222637	0.659964828689957	0.837758462325585	0.81867608442928	0.746691820505802	0.64024919200359	0.80633573218562	0.695167117762302	0.637410020729763	0.797398339122624	0.658874094464462	0.408434488629863	0.834732255944922	0.85912887754991	0.863382306549644	0.83268877557604	0.307803381139537	0.729230598610364	0.825622782410845	0.841456236465859	0.689852179570444	0.798738863678784	0.742478446419371	0.666825131977023	0.659535240521768	0.645567771264458	0.67407533096833	0.629897726854824	0.782882318258351	0.303751219624922	0.783595886172455	0.750924360616829	0.750184905044361	0.770847088156841	0.533917668797271	0.646785477310094	0.638673211852159	0.813212706676299	0.381660670303568	0.771347139889905	0.82020390067776
