Composite Element REF	Hugo_Symbol	Group	TCGA-FA-8693-01	TCGA-FA-A4BB-01	TCGA-FA-A4XK-01	TCGA-FA-A6HN-01	TCGA-FA-A6HO-01	TCGA-FA-A7DS-01	TCGA-FA-A7Q1-01	TCGA-FA-A82F-01	TCGA-FA-A86F-01	TCGA-FF-8041-01	TCGA-FF-8042-01	TCGA-FF-8043-01	TCGA-FF-8046-01	TCGA-FF-8047-01	TCGA-FF-8061-01	TCGA-FF-8062-01	TCGA-FF-A7CQ-01	TCGA-FF-A7CR-01	TCGA-FF-A7CW-01	TCGA-FF-A7CX-01	TCGA-FM-8000-01	TCGA-G8-6324-01	TCGA-G8-6325-01	TCGA-G8-6326-01	TCGA-G8-6906-01	TCGA-G8-6907-01	TCGA-G8-6909-01	TCGA-G8-6914-01	TCGA-GR-7351-01	TCGA-GR-7353-01	TCGA-GR-A4D4-01	TCGA-GR-A4D5-01	TCGA-GR-A4D6-01	TCGA-GR-A4D9-01	TCGA-GS-A9TQ-01	TCGA-GS-A9TT-01	TCGA-GS-A9TU-01	TCGA-GS-A9TV-01	TCGA-GS-A9TW-01	TCGA-GS-A9TX-01	TCGA-GS-A9TY-01	TCGA-GS-A9TZ-01	TCGA-GS-A9U3-01	TCGA-GS-A9U4-01	TCGA-RQ-A68N-01	TCGA-RQ-A6JB-01	TCGA-RQ-AAAT-01	TCGA-VB-A8QN-01
cg00013618		BodyBody	0.818244640261655	0.741926809232466	0.253134835206364	0.696255441808135	0.449398108026337	0.641369522490839	0.194363596471235	0.469385595496936	0.801714318518565	0.414701647602147	0.265737253406624	0.265877098520957	0.389033004288839	0.209710811043542	0.913648689953579	0.759577363491315	0.422041249902474	0.438695219516881	0.509635796001477	0.142710093238571	0.525792915627125	0.414062013998778	0.807263306189847	0.629071838336283	0.590396152697531	0.161212674747014	0.418960000876616	0.378257968816918	0.926718854063088	0.593924529780905	0.457488304831654	0.609665961452164	0.40101455939437	0.33471793887732	0.397993484450892	0.122169924065482	0.505474817994752	0.852640022518619	0.906339719433425	0.645303023817568	0.913314025482633	0.772844014640896	0.46937704219391	0.764223312154862	0.351066924181599	0.318998036828396	0.662423831879547	0.912681198586942
cg00059930		NA	0.656116533148072	0.54304368635151	0.7788754285441	0.570846725496003	0.645606186402302	0.822876730631869	0.842186050890832	0.798560638775339	0.604357268582457	0.693551702437265	0.782791764568799	0.264796798948591	0.686695785587215	0.823692801955887	0.759067608236357	0.623698407243861	0.73354158762019	0.651138890000482	0.511236592882276	0.909053286513216	0.770536531668309	0.491923453272226	0.572211131724528	0.537481082363596	0.781099756672476	0.850155122956894	0.685464487873778	0.661150001393824	0.718427119176954	0.666640852569073	0.413970539806003	0.55481902078309	0.670292646493448	0.703695637603024	0.866442400141784	0.815054039312952	0.65069616443601	0.539860272042527	0.731331918373385	0.639197738410573	0.754364216638161	0.621797437734615	0.61271379489483	0.581356437772157	0.69028213243745	0.754690190948068	0.766385679855201	0.701623209552298
cg00061629		NA	0.491879077438719	0.262136843592263	0.337494075537332	0.200336288485297	0.384533249703462	0.157036922127061	0.477691847877188	0.412965036729269	0.48803475945871	0.759167493524308	0.458523606084771	0.261613914863059	0.281975135055821	0.580844350658918	0.543050697970497	0.208703921788187	0.365556186823514	0.0890403211715676	NA	0.61084121657521	0.522588981037838	0.240137649394894	0.794747443255045	0.328001272804095	0.421038849016362	0.384875094533519	0.561607031671605	0.307764954272109	0.385222867868253	0.802245262571907	0.522438507285407	0.421507324533232	0.226498082935654	0.273805062265591	0.473468241741337	0.415956448228737	0.378353630232118	NA	0.198967010421223	0.517943834636259	0.634822355713103	0.799355802297903	0.22739251455339	0.322505225339021	0.646308114467634	0.224650017463784	0.221433027678606	0.520502496939329
cg00090147		Body	0.354558413903458	0.139615142221571	0.120507883836173	0.352538433586779	0.235762216937257	0.517466487750103	0.74574232390881	0.192111128665728	0.282030743536389	0.328774874040262	0.469084461021272	0.118917231705255	0.257752531663294	0.769777699071213	0.466523590818002	0.204752541650234	0.551341131632219	0.340997415050894	0.187792621013469	0.572094513730087	0.423622243973518	0.151245477881404	0.398542348219474	0.156404597321734	0.485293982595867	0.378879627350979	0.497948570984593	0.347595120036412	0.544183060780061	0.159413856035684	0.134560703679203	0.306025497116219	0.19327806214132	0.360415545584508	0.630318542743112	0.726053366572017	0.494980843773867	0.139777359947035	0.429479810947065	0.163844041108572	0.106979640460979	0.389511479622569	0.150251816422441	0.134045858398836	0.539854601813212	0.3801487523172	0.400050483555579	0.464536722897562
cg00117172		NA	0.0319921360451443	0.0311382951208292	0.0206418828761061	0.022189685149493	0.0309753453420893	0.0274538736315344	0.0412938579503792	0.0314229506369702	0.0249133615052021	0.0239953166202053	0.0283084277763387	0.0245741268754896	0.0270110640669433	0.0455013192002306	0.0383107984501731	0.0273209970647755	0.0331062641792813	0.0283698596341099	0.0339069918581585	0.0172731741293759	0.030356023546978	0.0281384424085712	0.0278538315105871	0.0256367685654421	0.0249169878584792	0.0269500972551964	0.034820874421464	0.0261952200312942	0.038897943382653	0.0283977417489894	0.0366009450833054	0.0373868449294727	0.0274930529397439	0.0248069243868747	0.0289136027057816	0.0365956372339108	0.0289155629148552	0.0320321983993994	0.0317204895452848	0.0350592932634872	0.0375328455528829	0.0305280218070539	0.0447187080609866	0.0385672781846945	0.0340340731141493	0.0287391781958235	0.0285380081058542	0.065603251164437
cg00129774		NA	0.0373278964457305	0.0288071989904753	0.028821911867112	0.0346216143340023	0.036228210370453	0.0400661670618832	0.0335191598611419	0.0488288327490038	0.0380995544525311	0.0436365889443304	0.0403313200870426	0.0235005704620309	0.0272521414223769	0.0338159958850879	0.0364782467333724	0.0340592580981998	0.0406848634510585	0.0387611813600016	0.0437646001564062	0.0455514675244667	0.0343444679485606	0.0357808544747461	0.0479664124011028	0.0252274529646022	0.0423743839859092	0.0398812039166522	0.0318383200881667	0.0335456481461114	0.0423342535102282	0.0365143693091008	0.0369839866885433	0.0277232124638167	0.031894905429697	0.0311414306032214	0.0434394551883043	0.0319885746380382	0.0381530971214604	0.0498177581645998	0.0363116565790842	0.0445545655695296	0.0427379351559094	0.0306191707727246	0.0318147746608712	0.0360481813360574	0.0334553501521379	0.0319966656493575	0.0337445129621351	0.0407125982067698
cg00210842		Body	0.0278187522795289	0.0197018415958404	0.0290513010255159	0.0191197658113812	0.0259619503788825	0.0221119749920847	0.0280496649414714	0.0224124721357604	0.020014636533209	0.0263295460709128	0.0252882047262004	0.0205659882691343	0.026935990686556	0.024524157756582	0.0251972177478508	0.0229690656792487	0.0278858251034067	0.0228247082500912	0.0239437498734451	0.0230719711248754	0.0229066278649609	0.0215242776913862	0.0297373719391865	0.0239877335081987	0.0226440947906157	0.0269545007929151	0.0218933416339633	0.0334912568491542	0.0227109739058258	0.0271657871145434	0.0266044346032176	0.0227428778655975	0.0218725278350499	0.0218207693517456	0.0239562874389595	0.0237251362511053	0.0222791112523318	0.0238066005884927	0.0210989074896268	0.0324542791117098	0.0254846705473797	0.0256254887760356	0.0212949988156728	0.0267539444134738	0.0222009368848713	0.0226400986894273	0.020913293397921	0.0214942416993411
cg00354258		TSS1500TSS200TSS1500	0.9027698974166	0.822148956517911	0.891105218817146	0.766844368939408	0.87446542064383	0.916381135551406	0.91061667224189	0.918517373300591	0.89731509285612	0.876747793118501	0.908317437697927	0.882403104041724	0.894262343341609	0.913194488480304	0.923013881452944	0.849721633432673	0.928490155653091	0.776140559706814	0.896669862686931	0.93746791423388	0.916252859809425	0.897365943353871	0.906680888218186	0.867507814546798	0.933618008693636	0.915037319066486	0.839012232900722	0.905807741201026	0.889350158920142	0.884756348881779	0.881034179890553	0.89832524452171	0.927904949072961	0.913315891230539	0.91332801276992	0.945379660852613	0.878969715954712	0.875986178107528	0.895621820305182	0.921440125898553	0.945910914050702	0.91899371331595	0.905160336447099	0.827483849322057	0.852912963275245	0.87526281057222	0.906092456047901	0.912929437246762
cg00399483		Body	0.621151868275717	0.428591994212577	0.763955414670462	0.407389912689168	0.617645579914626	0.825442205101935	0.82340744671989	0.687231485229386	0.485333119278578	0.665386462882391	0.826177698535832	0.813402367566113	0.649800852906084	0.871442612606719	0.773003164512162	0.551751608422888	0.701933964938696	0.636565984667514	0.713003229036251	0.891921340089639	0.799223383586081	0.477007568613316	0.421983056082389	0.282892776164822	0.802803289592293	0.889935658028915	0.6324600207263	0.349830817588895	0.639657399024074	0.654610953925631	0.641744041289842	0.36576908478707	0.601211602095242	0.628718828228574	0.852884508857229	0.845121085614749	0.645307813777414	0.389600311924867	0.683935768862766	0.336429253540365	0.779378737846068	0.541714551703611	0.516103769319922	0.387383916304934	0.669439823795904	0.706484342080028	0.755532876237943	0.625396882315181
cg00418150		Body	0.606332454543293	0.415123036663125	0.700218900903388	0.490263084948627	0.414609619588915	0.473273039282719	0.789602908229217	0.431791199961097	0.474875672584463	0.54014931759	0.728721414993044	0.423511087601582	0.437477590456506	0.798472594030377	0.695727667758417	0.559720049585522	0.568900514811873	0.571565350912464	0.443304660700367	0.845486803106705	0.470400034138764	0.310332135308867	0.32797132725347	0.353270206168882	0.764652879558439	0.571273134944068	0.545992378917188	0.585205837627803	0.617019446365103	0.598674881310442	0.296832144035543	0.393959383855678	0.401927422690322	0.633341159477162	0.776504649686602	0.787036573063885	0.42034877440207	0.404637454982669	0.545845266245578	0.3859582272826	0.740220055360111	0.532848771846606	0.494345137550987	0.384605727624859	0.581326713166781	0.666994466249963	0.71534077453509	0.614963461458676
cg00503840		1stExon5'UTR	0.517649143809197	0.372502624844283	0.644027625142187	0.441580969078447	0.468577644812521	0.705138941099871	0.754772992785152	0.605914906079999	0.43306356042952	0.585973698270786	0.69481938164075	0.447862196140826	0.541381049012101	0.759136662641182	0.632472210913519	0.449664981528091	0.540001605376284	0.505427268816035	0.464067353661029	0.794162048681467	0.64685495596007	0.208130053873949	0.4179413021098	0.249141703336381	0.70833405986336	0.53124144787422	0.492776744719767	0.506891363511034	0.638215933846499	0.55800891981894	0.553975061764846	0.345994788872302	0.482925676337678	0.518828623992095	0.777068387507273	0.743604713723761	0.522584583884133	0.282915542328265	0.509324517616671	0.465409222699619	0.719695339835129	0.455107896194716	0.416599959355712	0.252225541352586	0.524615472228345	0.586828290879789	0.649240179098746	0.520594463146988
cg00662556		Body	0.527801592658418	0.368787195112608	0.666616285502419	0.495598927345604	0.571724638052029	0.732481322303393	0.798541458094409	0.662619289095221	0.360822496605348	0.595707816113958	0.721940260656688	0.751954986084603	0.541040177109623	0.782435326626421	0.625671268396347	0.47201245794129	0.630395262071042	0.561783993096379	0.586354091144051	0.835849563067979	0.655651666214547	0.313515241747631	0.356246912754853	0.253105101291528	0.697799383620154	0.815711172376539	0.452155355507809	0.387040344715761	0.54699109217734	0.588870974736107	0.521438752149847	0.347837588543631	0.547594250439177	0.527472545606605	0.787796742465428	0.828771141218728	0.641816648264791	0.314253531501008	0.566068478899334	0.413876848696827	0.657375176691911	0.472766348788524	0.474337476779515	0.286673722637393	0.556688254308636	0.546418326762952	0.591738610408257	0.538358414781258
cg00718513		Body	0.410275748457259	0.465781323438806	0.687361348785343	0.335850002042238	0.323239966057008	0.681123586153428	0.264418375069739	0.329122956811113	0.333850353367507	0.18912482838486	0.220493309377396	0.575569261595405	0.749096858389501	0.164603577199104	0.496024997192586	0.183506171824727	0.559300438363869	0.357903917496634	0.338158954227249	0.664213778177242	0.695383488229264	0.381855328737131	0.555400346293686	0.399035978306443	0.204744281207922	0.158484347075056	0.403867264580401	0.361133239614585	0.698172590967676	0.650569340976062	0.745749222592147	0.514099988129925	0.466487283797252	0.549628500016264	0.199815799047901	0.190841510471719	0.574587365279556	0.563908999599854	0.765340747163662	0.525041190465107	0.244614562571142	0.367340703736051	0.375486705520938	0.633689751273394	0.324851215481822	0.562386345781118	0.611088084335586	0.321817762637412
cg00904483		3'UTR	0.923762646691681	0.934550342458332	0.943459508462445	0.599518233687087	0.932061207030441	0.957039076345226	0.952346298778087	0.897291198391813	0.946675809311064	0.927478457021751	0.947544074087813	0.93265412785273	0.92946558174617	0.953694606935907	0.948214650671377	0.924713250873389	0.9428136019683	0.960872691736814	0.951082723261846	0.951503770095659	0.939247164543602	0.949606559952752	0.94590337289883	0.949068321134614	0.952498872220034	0.948591442376114	0.942099340269049	0.943234379880586	0.938695795697845	0.507790474377221	0.935912197168	0.941703847007392	0.947310883413526	0.943749425001149	0.958408537871489	0.946097641004963	0.949914950175398	0.959410554862738	0.961545109863927	0.954862255886038	0.951581151945937	0.930348472785583	0.917330264168008	0.748384334340673	0.946252588732135	0.943421455390725	0.932537274756154	0.933176252445168
cg00953256		BodyTSS1500TSS200	0.807982339524931	0.577577614917274	0.237199225183182	0.50406208296258	0.753547437809362	0.343596887409718	0.540197004034815	0.382999892507662	0.571841607898175	0.815826278901312	0.828793310199946	0.197336874953997	0.523548553004203	0.890038073622417	0.839443286447539	0.760988126967648	0.370087679477701	0.575596065778464	0.632940879523375	0.899521986046948	0.485050794109617	0.827990382303833	0.788035432302333	0.710375625675267	0.5203783925472	0.778632416093965	0.812570551742223	0.460118788972381	0.563120465190123	0.792705393880435	0.517481277969975	0.564764419087483	0.797797985269037	0.28305707806355	0.243132014271099	0.417901563803931	0.444061879077625	0.775398524294246	0.792411089713266	0.77845478882506	0.548074467129179	0.838734697173647	0.469160007817376	0.630567738607176	0.544549567008616	0.786196144333157	0.428480520927111	0.707879693331682
cg01134491		TSS200	0.0386477224686581	0.0315156785086829	0.0338148867312164	0.0365661887505965	0.0341326565635049	0.0270560109705017	0.0336618034003836	0.0307001141240769	0.0265209527734676	0.0221621408239447	0.0344531578217414	0.0273355405406409	0.0294076530392319	0.0327408859756876	0.0391001769252255	0.0267585439329999	0.0364981878830487	0.0278302926873573	0.0284043837271781	0.0353400797635099	0.0367141318443622	0.036264429280742	0.0312883381770671	0.032271385216421	0.0408431447038538	0.0438876776857026	0.0610037444792206	0.0399700140287911	0.0332541149720946	0.0306545188728497	0.0339228931039534	0.0284223536046478	0.0402898929982851	0.0355106450160835	0.0294664641846828	0.0253442579842462	0.0282916697846953	0.0317089320336024	0.0274147375521253	0.035462274481167	0.0396643278687921	0.0305870196877132	0.0327940012902375	0.0497581582643409	0.0365081392071205	0.0293276037923994	0.0261509666483949	0.0237806626091912
